Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
In Between,60,"$7,020 ","$23,886 ",3,66,"$5,898 "
"Roman J. Israel, Esq.",54,"$12,773 ","$11,915,451 ",10,67,"$5,581 "
Youth (2017),47,"$20,837 ","$1,871,012 ",6,68,"$5,241 "
Island of Lemurs: Madagascar (IMAX),62,"$6,709 ","$11,098,590 ",199,69,"$5,010 "
Under the Sea 3D,86,$807 ,"$35,690,621 ",467,71,"$4,837 "
1945,78,"$1,822 ","$264,307 ",12,72,"$3,733 "
Hubble 3D,79,"$1,810 ","$51,987,915 ",410,74,"$3,595 "
Big Sonia,63,"$6,512 ","$139,686 ",10,76,"$3,330 "
The Breadwinner,65,"$5,791 ","$242,270 ",10,80,"$2,796 "
The Sacrifice (2017 re-release),70,"$3,709 ","$36,498 ",14,81,"$2,677 "
Thelma,81,"$1,652 ","$139,798 ",11,82,"$2,582 "
Same Kind of Different as Me,72,"$3,476 ","$6,416,932 ",14,83,"$2,492 "
Born to Be Wild (IMAX),95,$70 ,"$25,619,513 ",355,85,"$2,199 "
Just Getting Started,77,"$1,994 ","$6,064,130 ",7,87,"$1,970 "
Tom of Finland,58,"$8,959 ","$340,750 ",15,88,"$1,874 "
The Man Who Invented Christmas,66,"$5,556 ","$5,669,852 ",9,89,"$1,778 "
The Other Side of Hope,74,"$3,302 ","$176,464 ",8,91,"$1,718 "
Novitiate,85,"$1,052 ","$572,308 ",13,92,"$1,504 "
The Crime of Monsieur Lange (2017 re-release),75,"$3,301 ","$31,534 ",10,96,$877 
Let there be Light,83,"$1,272 ","$7,212,146 ",13,98,$541 
Porto,80,"$1,719 ","$13,072 ",10,99,$278 
BPM (Beats Per Minute),87,$631 ,"$96,150 ",14,100,$276 
God's Own Country,84,"$1,200 ","$323,394 ",13,101,$155 
On the Beach at Night Alone,89,$570 ,"$32,478 ",10,103,$59 
Jumanji: Welcome to the Jungle,1,"$19,505,170 ","$316,450,318 ",6,2,"$16,144,874 "
Hostiles,23,"$580,260 ","$1,560,561 ",6,3,"$10,110,739 "
The Greatest Showman,5,"$10,644,824 ","$113,125,431 ",6,4,"$9,550,367 "
The Post,4,"$11,716,960 ","$44,758,362 ",6,5,"$9,107,141 "
The Shape of Water,16,"$2,186,311 ","$30,195,358 ",9,8,"$5,922,553 "
