Title,LW_x,Weekend Gross_y,Total Gross_y,Week #_x,TW_x,Weekend Gross_x
Filmworker,96,$334 ,"$86,341 ",8,104,$223 
Intersection (2018),80,"$1,384 ","$3,637 ",3,106,$184 
The Day After,93,$475 ,"$21,982 ",8,107,$166 
Jurassic World: Fallen Kingdom,1,"$60,912,195 ","$265,699,530 ",3,2,"$28,632,375 "
Incredibles 2,2,"$46,417,761 ","$440,601,275 ",4,3,"$28,406,423 "
Ocean's 8,5,"$8,332,661 ","$115,004,842 ",5,7,"$5,067,750 "
Tag,6,"$5,880,731 ","$41,133,539 ",4,8,"$3,029,790 "
Won't You Be My Neighbor?,10,"$2,421,975 ","$7,619,057 ",5,9,"$2,571,210 "
Deadpool 2,7,"$3,574,451 ","$310,474,309 ",8,10,"$1,675,074 "
Solo: A Star Wars Story,9,"$2,687,670 ","$207,673,785 ",7,13,"$1,071,432 "
Hereditary,11,"$2,286,810 ","$39,406,564 ",5,14,"$1,025,173 "
Avengers: Infinity War,12,"$1,542,704 ","$672,625,416 ",11,15,"$936,335 "
Superfly,13,"$1,403,058 ","$18,382,177 ",4,18,"$626,383 "
Book Club,15,"$671,039 ","$66,124,671 ",8,19,"$433,208 "
Rampage (2018),16,"$601,162 ","$98,401,264 ",13,21,"$360,156 "
RBG,18,"$415,979 ","$11,550,341 ",10,22,"$357,808 "
Adrift,17,"$538,376 ","$30,153,227 ",6,23,"$287,966 "
Hearts Beat Loud,19,"$388,442 ","$1,295,308 ",5,24,"$253,824 "
Boundaries,37,"$46,985 ","$89,541 ",3,25,"$235,994 "
American Animals,20,"$367,611 ","$2,130,616 ",6,27,"$150,830 "
A Quiet Place,26,"$189,975 ","$187,166,470 ",14,29,"$136,398 "
Life of the Party,35,"$64,891 ","$52,368,804 ",9,30,"$110,435 "
Breaking In (2018),23,"$220,580 ","$46,151,205 ",9,32,"$104,840 "
The Catcher Was a Spy,30,"$118,091 ","$296,098 ",3,33,"$98,294 "
Gotti,22,"$316,692 ","$3,964,979 ",4,34,"$78,563 "
Pandas,31,"$97,094 ","$2,597,918 ",14,35,"$71,230 "
Upgrade,29,"$123,410 ","$11,664,620 ",6,36,"$69,850 "
First Reformed,28,"$149,074 ","$3,122,235 ",8,37,"$61,632 "
2001: A Space Odyssey (2018 re-release),38,"$39,754 ","$1,113,316 ",8,38,"$59,946 "
Show Dogs,32,"$81,031 ","$17,436,973 ",8,40,"$55,358 "
Damsel,34,"$73,631 ","$106,713 ",3,41,"$48,306 "
Black Panther,43,"$32,424 ","$699,817,122 ",21,42,"$31,112 "
Mountain,45,"$28,557 ","$271,634 ",9,43,"$23,682 "
The Rider,44,"$31,167 ","$2,265,237 ",13,44,"$22,193 "
Isle Of Dogs,39,"$35,237 ","$31,864,111 ",16,45,"$21,723 "
The King (2018),56,"$11,740 ","$41,194 ",3,46,"$18,372 "
A Beautiful Planet,52,"$14,368 ","$14,509,288 ",115,47,"$18,260 "
The Seagull,36,"$50,507 ","$1,161,793 ",9,49,"$13,461 "
The Accidental Detective 2: In Action,40,"$35,093 ","$116,248 ",3,51,"$11,346 "
Hotel Artemis,50,"$15,477 ","$6,635,260 ",5,52,"$10,699 "
Eating Animals,49,"$17,803 ","$88,879 ",4,54,"$9,241 "
Five Seasons: The Gardens of Piet Oudolf,47,"$22,055 ","$48,392 ",4,55,"$9,024 "
1945,64,"$6,662 ","$746,504 ",36,56,"$8,094 "
Disobedience,51,"$15,079 ","$3,450,997 ",11,57,"$8,087 "
I Can Only Imagine,48,"$20,869 ","$83,453,796 ",17,58,"$7,410 "
The Guardians,53,"$13,956 ","$124,168 ",10,61,"$6,499 "
Nancy (2018),61,"$7,350 ","$64,011 ",5,62,"$6,035 "
Bag of Marbles,62,"$6,955 ","$387,507 ",16,63,"$5,953 "
On Chesil Beach,67,"$6,074 ","$729,240 ",8,64,"$5,909 "
En el Septimo Dia (On the Seventh Day),84,"$2,451 ","$41,906 ",5,65,"$5,362 "
Super Troopers 2,55,"$11,863 ","$30,605,845 ",12,66,"$4,637 "
Lobster Cop,57,"$10,805 ","$68,374 ",3,67,"$4,295 "
The Gospel According to André,59,"$9,090 ","$363,963 ",7,68,"$4,091 "
The Death of Stalin,65,"$6,184 ","$8,021,182 ",18,69,"$3,742 "
"Westwood: Punk, Icon, Activist",86,"$1,809 ","$31,022 ",5,70,"$3,376 "
Summer 1993,54,"$12,258 ","$158,154 ",7,72,"$2,688 "
Araby,73,"$4,349 ","$17,798 ",3,74,"$2,396 "
Zama,96,$703 ,"$193,201 ",13,75,"$2,166 "
Let the Sunshine In,68,"$6,022 ","$853,132 ",11,76,"$2,106 "
Chappaquiddick,82,"$2,585 ","$17,386,130 ",14,77,"$2,097 "
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,88,"$1,462 ","$156,181 ",9,79,"$1,963 "
Itzhak,85,"$1,822 ","$578,104 ",18,81,"$1,872 "
The Greatest Showman,42,"$32,703 ","$174,293,747 ",29,82,"$1,836 "
Marlina the Murderer in Four Acts,78,"$3,225 ","$9,233 ",3,83,"$1,566 "
Rodin,81,"$2,787 ","$36,720 ",6,85,"$1,482 "
The Misandrists,94,$891 ,"$18,930 ",7,87,"$1,402 "
Journey to the South Pacific,103,$317 ,"$7,631,457 ",241,89,"$1,062 "
Ava,99,$605 ,"$9,368 ",11,91,$984 
Filmworker,104,$223 ,"$86,823 ",9,94,$395 
Gabriel and the Mountain,91,"$1,006 ","$13,327 ",4,95,$363 
Hubble 3D,71,"$5,303 ","$52,315,749 ",434,96,$284 
Spiral,89,"$1,114 ","$6,279 ",3,97,$219 
Believer,66,"$6,181 ","$360,482 ",5,98,$170 
Bye Bye Germany,97,$664 ,"$58,131 ",13,101,$60 
Incredibles 2,3,"$28,406,423 ","$503,767,837 ",5,4,"$16,262,898 "
Jurassic World: Fallen Kingdom,2,"$28,632,375 ","$333,390,040 ",4,5,"$16,199,430 "
Sicario: Day of the Soldado,5,"$7,624,500 ","$35,626,570 ",3,8,"$3,881,050 "
Uncle Drew,6,"$6,606,643 ","$29,930,263 ",3,9,"$3,186,625 "
Ocean's 8,7,"$5,067,750 ","$126,533,978 ",6,10,"$2,907,356 "
Won't You Be My Neighbor?,9,"$2,571,210 ","$12,362,937 ",6,11,"$1,947,845 "
Tag,8,"$3,029,790 ","$48,255,471 ",5,12,"$1,291,301 "
Three Identical Strangers,17,"$684,773 ","$1,009,720 ",3,13,"$1,200,572 "
Leave No Trace,20,"$403,010 ","$781,675 ",3,14,"$1,172,726 "
Deadpool 2,10,"$1,675,074 ","$314,546,474 ",9,15,"$786,787 "
Avengers: Infinity War,15,"$936,335 ","$674,865,809 ",12,16,"$621,380 "
Sanju,11,"$1,281,466 ","$6,009,045 ",3,18,"$514,184 "
Hereditary,14,"$1,025,173 ","$41,885,804 ",6,19,"$429,314 "
Solo: A Star Wars Story,13,"$1,071,432 ","$210,931,529 ",8,20,"$407,791 "
Book Club,19,"$433,208 ","$67,172,334 ",9,21,"$286,685 "
RBG,22,"$357,808 ","$12,302,369 ",11,22,"$263,801 "
Superfly,18,"$626,383 ","$19,834,783 ",5,24,"$200,301 "
Adrift,23,"$287,966 ","$30,838,250 ",7,25,"$181,007 "
The Fall of the American Empire,26,"$158,575 ","$771,926 ",3,27,"$151,773 "
Hearts Beat Loud,24,"$253,824 ","$1,853,714 ",6,30,"$130,051 "
The Cakemaker,39,"$55,613 ","$120,271 ",3,31,"$89,307 "
A Quiet Place,29,"$136,398 ","$187,446,026 ",15,32,"$83,484 "
Life of the Party,30,"$110,435 ","$52,523,382 ",10,34,"$76,521 "
Boundaries,25,"$235,994 ","$361,908 ",4,35,"$74,853 "
American Animals,27,"$150,830 ","$2,554,113 ",7,36,"$70,643 "
Pandas,35,"$71,230 ","$2,746,318 ",15,37,"$63,822 "
The Catcher Was a Spy,33,"$98,294 ","$484,404 ",4,38,"$55,004 "
Rampage (2018),21,"$360,156 ","$98,984,095 ",14,39,"$54,714 "
Show Dogs,40,"$55,358 ","$17,561,675 ",9,41,"$42,405 "
The King (2018),46,"$18,372 ","$69,586 ",4,43,"$32,980 "
First Reformed,37,"$61,632 ","$3,317,308 ",9,44,"$31,728 "
Hotel Artemis,52,"$10,699 ","$6,656,011 ",6,45,"$25,786 "
Damsel,41,"$48,306 ","$210,297 ",4,46,"$21,502 "
Gotti,34,"$78,563 ","$4,261,958 ",5,47,"$18,434 "
A Beautiful Planet,47,"$18,260 ","$14,626,053 ",116,48,"$16,426 "
Isle Of Dogs,45,"$21,723 ","$31,914,239 ",17,50,"$13,859 "
Black Panther,42,"$31,112 ","$699,875,819 ",22,51,"$13,859 "
2001: A Space Odyssey (2018 re-release),38,"$59,946 ","$1,222,819 ",9,53,"$11,976 "
Mountain,43,"$23,682 ","$314,804 ",10,57,"$7,900 "
The Rider,44,"$22,193 ","$2,316,512 ",14,59,"$7,328 "
Eating Animals,54,"$9,241 ","$109,851 ",5,60,"$7,023 "
The Seagull,49,"$13,461 ","$1,215,042 ",10,61,"$6,621 "
1945,56,"$8,094 ","$759,757 ",37,62,"$5,613 "
Five Seasons: The Gardens of Piet Oudolf,55,"$9,024 ","$70,017 ",5,63,"$5,480 "
Woman Walks Ahead,59,"$7,100 ","$19,078 ",3,64,"$4,707 "
Disobedience,57,"$8,087 ","$3,475,466 ",12,65,"$4,424 "
"Westwood: Punk, Icon, Activist",70,"$3,376 ","$44,288 ",6,66,"$4,268 "
Itzhak,81,"$1,872 ","$581,742 ",19,67,"$4,243 "
Custody,78,"$2,087 ","$23,073 ",3,69,"$3,996 "
Filmworker,94,$395 ,"$87,353 ",10,70,"$3,328 "
Bag of Marbles,63,"$5,953 ","$399,023 ",17,71,"$3,283 "
The Death of Stalin,69,"$3,742 ","$8,029,281 ",19,73,"$2,989 "
The Guardians,61,"$6,499 ","$143,553 ",11,74,"$2,950 "
Let the Sunshine In,76,"$2,106 ","$858,278 ",12,75,"$2,590 "
The Gospel According to André,68,"$4,091 ","$377,625 ",8,76,"$2,363 "
The Greatest Showman,82,"$1,836 ","$174,307,966 ",30,77,"$2,226 "
Araby,74,"$2,396 ","$24,908 ",4,79,"$1,923 "
Zama,75,"$2,166 ","$196,607 ",14,80,"$1,741 "
The Misandrists,87,"$1,402 ","$20,945 ",8,81,"$1,739 "
En el Septimo Dia (On the Seventh Day),65,"$5,362 ","$49,174 ",6,82,"$1,721 "
Summer 1993,72,"$2,688 ","$171,682 ",8,84,"$1,655 "
Chappaquiddick,77,"$2,097 ","$17,389,861 ",15,85,"$1,629 "
Lobster Cop,67,"$4,295 ","$81,149 ",4,86,"$1,409 "
Ava,91,$984 ,"$10,840 ",12,87,"$1,390 "
Grace Jones: Bloodlight and Bami,73,"$2,406 ","$365,178 ",14,88,"$1,357 "
Nancy (2018),62,"$6,035 ","$75,760 ",6,89,"$1,295 "
Bye Bye Germany,101,$60 ,"$61,644 ",14,94,$598 
Journey to the South Pacific,89,"$1,062 ","$7,632,519 ",242,95,$514 
Wastelander,80,"$1,960 ","$67,115 ",17,98,$433 
Hubble 3D,96,$284 ,"$52,323,373 ",435,99,$420 
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,79,"$1,963 ","$160,143 ",10,101,$305 
Ant-Man and the Wasp,2,"$29,097,859 ","$133,083,084 ",3,4,"$16,507,156 "
Incredibles 2,4,"$16,262,898 ","$535,861,390 ",6,5,"$11,895,063 "
Jurassic World: Fallen Kingdom,5,"$16,199,430 ","$363,981,645 ",5,7,"$11,263,420 "
The First Purge,6,"$9,312,530 ","$49,690,500 ",3,8,"$5,105,305 "
Sorry to Bother You,7,"$4,208,881 ","$5,273,833 ",3,10,"$2,863,420 "
Sicario: Day of the Soldado,8,"$3,881,050 ","$43,231,395 ",4,11,"$1,882,094 "
Ocean's 8,10,"$2,907,356 ","$132,253,292 ",7,12,"$1,605,504 "
Uncle Drew,9,"$3,186,625 ","$36,653,665 ",4,13,"$1,506,283 "
Three Identical Strangers,13,"$1,200,572 ","$2,537,346 ",4,14,"$1,474,018 "
Won't You Be My Neighbor?,11,"$1,947,845 ","$15,886,132 ",7,15,"$1,359,090 "
Leave No Trace,14,"$1,172,726 ","$2,135,017 ",4,16,"$922,971 "
Tag,12,"$1,291,301 ","$51,333,258 ",6,18,"$701,235 "
Deadpool 2,15,"$786,787 ","$316,242,407 ",10,20,"$476,139 "
Avengers: Infinity War,16,"$621,380 ","$676,024,817 ",13,21,"$425,466 "
Solo: A Star Wars Story,20,"$407,791 ","$211,920,767 ",9,25,"$244,339 "
Hereditary,19,"$429,314 ","$42,948,289 ",7,26,"$239,163 "
Sanju,18,"$514,184 ","$7,148,643 ",4,27,"$223,338 "
RBG,22,"$263,801 ","$12,781,970 ",12,28,"$184,184 "
Book Club,21,"$286,685 ","$67,791,123 ",10,29,"$170,587 "
The Fall of the American Empire,27,"$151,773 ","$1,076,770 ",4,30,"$128,327 "
Rampage (2018),39,"$54,714 ","$99,133,659 ",15,31,"$125,048 "
Whitney,17,"$547,151 ","$2,369,573 ",3,32,"$124,462 "
A Quiet Place,32,"$83,484 ","$187,615,740 ",16,33,"$101,402 "
The Cakemaker,31,"$89,307 ","$239,866 ",4,35,"$81,967 "
Adrift,25,"$181,007 ","$31,174,946 ",8,37,"$74,912 "
Yellow Submarine (2018 re-release),28,"$143,328 ","$519,910 ",3,39,"$67,896 "
Hearts Beat Loud,30,"$130,051 ","$2,113,992 ",7,40,"$60,306 "
Life of the Party,34,"$76,521 ","$52,666,592 ",11,41,"$54,156 "
Superfly,24,"$200,301 ","$20,334,691 ",6,42,"$50,397 "
The King (2018),43,"$32,980 ","$111,715 ",5,44,"$35,629 "
Boundaries,35,"$74,853 ","$554,355 ",5,46,"$32,463 "
American Animals,36,"$70,643 ","$2,706,636 ",8,47,"$32,238 "
The Catcher Was a Spy,38,"$55,004 ","$580,934 ",5,48,"$30,958 "
A Beautiful Planet,48,"$16,426 ","$14,662,583 ",117,50,"$27,061 "
Show Dogs,41,"$42,405 ","$17,655,065 ",10,51,"$25,936 "
Black Panther,51,"$13,859 ","$699,900,852 ",23,52,"$25,445 "
The Greatest Showman,77,"$2,226 ","$174,312,158 ",31,55,"$15,197 "
First Reformed,44,"$31,728 ","$3,388,156 ",10,56,"$12,637 "
1945,62,"$5,613 ","$768,816 ",38,59,"$9,720 "
Damsel,46,"$21,502 ","$262,027 ",5,60,"$9,398 "
The Rider,59,"$7,328 ","$2,335,648 ",15,61,"$9,207 "
Gotti,47,"$18,434 ","$4,322,773 ",6,62,"$8,872 "
Isle Of Dogs,50,"$13,859 ","$31,945,934 ",18,63,"$7,739 "
Five Seasons: The Gardens of Piet Oudolf,63,"$5,480 ","$80,033 ",6,64,"$7,728 "
Under the Tree,52,"$13,411 ","$33,636 ",3,65,"$6,302 "
The Seagull,61,"$6,621 ","$1,229,431 ",11,66,"$5,959 "
Ryuichi Sakamoto: Coda,49,"$15,748 ","$35,067 ",3,67,"$4,581 "
Mountain,57,"$7,900 ","$342,277 ",11,68,"$4,338 "
Itzhak,67,"$4,243 ","$594,535 ",20,71,"$3,570 "
Bag of Marbles,71,"$3,283 ","$404,235 ",18,73,"$3,279 "
Woman Walks Ahead,64,"$4,707 ","$27,560 ",4,74,"$2,919 "
The Guardians,74,"$2,950 ","$152,913 ",12,75,"$2,834 "
Saving Brinton,90,$952 ,"$40,694 ",28,76,"$2,686 "
The Gospel According to André,76,"$2,363 ","$384,516 ",9,77,"$2,662 "
Disobedience,65,"$4,424 ","$3,485,126 ",13,78,"$2,489 "
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,101,$305 ,"$161,324 ",11,79,"$2,446 "
The Death of Stalin,73,"$2,989 ","$8,036,277 ",20,80,"$2,445 "
Ava,87,"$1,390 ","$12,674 ",13,83,"$1,568 "
En el Septimo Dia (On the Seventh Day),82,"$1,721 ","$53,560 ",7,84,"$1,527 "
Eating Animals,60,"$7,023 ","$122,658 ",6,86,"$1,224 "
Chappaquiddick,85,"$1,629 ","$17,392,118 ",16,87,"$1,198 "
Summer 1993,84,"$1,655 ","$175,329 ",9,88,"$1,168 "
Journey to the South Pacific,95,$514 ,"$7,633,307 ",243,89,"$1,073 "
Let the Sunshine In,75,"$2,590 ","$862,659 ",13,91,$578 
Hubble 3D,99,$420 ,"$52,324,125 ",436,92,$561 
"Westwood: Punk, Icon, Activist",66,"$4,268 ","$51,876 ",7,94,$413 
Wastelander,98,$433 ,"$68,204 ",19,98,$333 
Araby,79,"$1,923 ","$29,073 ",5,99,$295 
Bye Bye Germany,94,$598 ,"$62,242 ",15,101,$215 
Hotel Transylvania 3: Summer Vacation,3,"$23,765,709 ","$91,704,977 ",3,4,"$12,253,640 "
Ant-Man and the Wasp,4,"$16,507,156 ","$165,005,448 ",4,6,"$8,766,100 "
Incredibles 2,5,"$11,895,063 ","$557,710,503 ",7,7,"$7,257,113 "
Jurassic World: Fallen Kingdom,7,"$11,263,420 ","$384,164,925 ",6,8,"$6,729,735 "
Skyscraper,6,"$11,360,030 ","$47,149,150 ",3,9,"$5,341,455 "
The First Purge,8,"$5,105,305 ","$60,316,670 ",4,10,"$2,215,400 "
Sorry to Bother You,10,"$2,863,420 ","$10,292,624 ",4,12,"$1,373,791 "
Eighth Grade,17,"$824,173 ","$1,226,974 ",3,14,"$1,269,046 "
Three Identical Strangers,14,"$1,474,018 ","$4,642,259 ",5,15,"$1,196,412 "
Won't You Be My Neighbor?,15,"$1,359,090 ","$18,462,117 ",8,16,"$704,445 "
Sicario: Day of the Soldado,11,"$1,882,094 ","$47,087,747 ",5,17,"$675,691 "
Ocean's 8,12,"$1,605,504 ","$135,670,016 ",8,18,"$635,839 "
Uncle Drew,13,"$1,506,283 ","$40,008,757 ",5,19,"$483,789 "
Leave No Trace,16,"$922,971 ","$3,644,864 ",5,20,"$470,622 "
Avengers: Infinity War,21,"$425,466 ","$676,858,988 ",14,21,"$406,008 "
Don't Worry He Won't Get Far on Foot,23,"$266,497 ","$381,522 ",3,22,"$334,819 "
Deadpool 2,20,"$476,139 ","$317,123,579 ",11,24,"$278,968 "
Tag,18,"$701,235 ","$52,844,018 ",7,25,"$278,875 "
Solo: A Star Wars Story,25,"$244,339 ","$212,418,646 ",10,27,"$151,889 "
Hereditary,26,"$239,163 ","$43,461,159 ",8,29,"$124,460 "
RBG,28,"$184,184 ","$13,132,071 ",13,30,"$122,754 "
A Quiet Place,33,"$101,402 ","$187,771,561 ",17,33,"$113,058 "
The Fall of the American Empire,30,"$128,327 ","$1,342,163 ",5,34,"$104,352 "
Book Club,29,"$170,587 ","$68,183,771 ",11,36,"$82,085 "
Sanju,27,"$223,338 ","$7,634,206 ",5,37,"$78,547 "
The Cakemaker,35,"$81,967 ","$362,232 ",5,38,"$67,649 "
Adrift,37,"$74,912 ","$31,345,663 ",9,41,"$34,990 "
Life of the Party,41,"$54,156 ","$52,768,872 ",12,42,"$33,268 "
Yellow Submarine (2018 re-release),39,"$67,896 ","$689,199 ",4,43,"$32,183 "
Hearts Beat Loud,40,"$60,306 ","$2,254,845 ",8,45,"$27,377 "
Whitney,32,"$124,462 ","$2,801,198 ",4,46,"$27,198 "
A Beautiful Planet,50,"$27,061 ","$14,729,798 ",118,48,"$21,184 "
Gauguin: Voyage to Tahiti,45,"$34,184 ","$97,649 ",3,49,"$17,338 "
Soorma,36,"$78,483 ","$329,930 ",3,50,"$17,156 "
The Catcher Was a Spy,48,"$30,958 ","$641,251 ",6,51,"$16,968 "
The King (2018),44,"$35,629 ","$164,968 ",6,54,"$13,590 "
Boundaries,46,"$32,463 ","$635,214 ",6,55,"$12,702 "
Show Dogs,51,"$25,936 ","$17,716,240 ",11,57,"$9,864 "
Ryuichi Sakamoto: Coda,67,"$4,581 ","$50,298 ",4,58,"$9,416 "
American Animals,47,"$32,238 ","$2,780,638 ",9,59,"$9,101 "
Superfly,42,"$50,397 ","$20,480,302 ",7,61,"$8,017 "
First Reformed,56,"$12,637 ","$3,422,670 ",11,62,"$8,006 "
The Rider,61,"$9,207 ","$2,350,459 ",16,66,"$5,898 "
Woman Walks Ahead,74,"$2,919 ","$34,546 ",5,67,"$5,478 "
En el Septimo Dia (On the Seventh Day),84,"$1,527 ","$60,337 ",8,68,"$4,696 "
Isle Of Dogs,63,"$7,739 ","$31,965,444 ",19,70,"$4,360 "
Under the Tree,65,"$6,302 ","$47,440 ",4,71,"$3,954 "
Damsel,60,"$9,398 ","$282,841 ",6,74,"$3,440 "
The Seagull,66,"$5,959 ","$1,241,936 ",12,76,"$2,931 "
Milford Graves Full Mantis,85,"$1,500 ","$13,305 ",3,77,"$2,680 "
Black Panther,52,"$25,445 ","$699,932,307 ",24,78,"$2,501 "
Five Seasons: The Gardens of Piet Oudolf,64,"$7,728 ","$91,698 ",7,81,"$2,270 "
Poor Boy,69,"$4,025 ","$18,713 ",3,82,"$2,260 "
1945,59,"$9,720 ","$781,105 ",39,83,"$2,085 "
Mountain,68,"$4,338 ","$353,483 ",12,84,"$2,066 "
The Gospel According to André,77,"$2,662 ","$388,163 ",10,86,"$1,753 "
Bye Bye Germany,101,$215 ,"$62,581 ",16,87,"$1,655 "
Ava,83,"$1,568 ","$15,615 ",14,89,"$1,588 "
Araby,99,$295 ,"$30,979 ",6,90,"$1,232 "
Disobedience,78,"$2,489 ","$3,493,541 ",14,91,$860 
Journey to the South Pacific,89,"$1,073 ","$7,634,577 ",244,92,$854 
Summer 1993,88,"$1,168 ","$178,672 ",10,96,$548 
"Westwood: Punk, Icon, Activist",94,$413 ,"$57,706 ",8,100,$372 
Itzhak,71,"$3,570 ","$601,354 ",21,103,$218 
The Day After,96,$350 ,"$23,941 ",12,104,$209 
Hubble 3D,92,$561 ,"$52,325,028 ",437,107,$188 
The Guardians,75,"$2,834 ","$161,264 ",13,108,$184 
Chappaquiddick,87,"$1,198 ","$17,394,093 ",17,111,$48 
Mamma Mia! Here We Go Again,2,"$15,100,095 ","$70,524,620 ",3,4,"$9,003,030 "
The Equalizer 2,3,"$14,020,017 ","$64,251,362 ",3,5,"$8,755,907 "
Hotel Transylvania 3: Summer Vacation,4,"$12,253,640 ","$119,177,141 ",4,6,"$8,004,571 "
Ant-Man and the Wasp,6,"$8,766,100 ","$183,490,227 ",5,7,"$6,364,500 "
Incredibles 2,7,"$7,257,113 ","$572,880,761 ",8,9,"$4,980,232 "
Jurassic World: Fallen Kingdom,8,"$6,729,735 ","$397,508,235 ",7,11,"$3,956,735 "
Eighth Grade,14,"$1,269,046 ","$2,917,883 ",4,12,"$2,850,892 "
Skyscraper,9,"$5,341,455 ","$59,091,215 ",4,14,"$2,247,685 "
Three Identical Strangers,15,"$1,196,412 ","$6,696,733 ",6,15,"$1,008,176 "
The First Purge,10,"$2,215,400 ","$65,469,275 ",5,16,"$930,325 "
Sorry to Bother You,12,"$1,373,791 ","$13,275,212 ",5,17,"$802,152 "
Blindspotting,13,"$1,281,547 ","$1,750,532 ",3,18,"$663,849 "
Won't You Be My Neighbor?,16,"$704,445 ","$20,048,382 ",9,19,"$500,790 "
Sicario: Day of the Soldado,17,"$675,691 ","$48,726,565 ",6,20,"$364,345 "
Ocean's 8,18,"$635,839 ","$137,293,754 ",9,23,"$289,046 "
Leave No Trace,20,"$470,622 ","$4,647,620 ",6,24,"$270,776 "
Avengers: Infinity War,21,"$406,008 ","$677,562,086 ",15,26,"$253,846 "
Unfriended: Dark Web,11,"$1,470,910 ","$7,364,340 ",3,27,"$223,945 "
Solo: A Star Wars Story,27,"$151,889 ","$212,730,648 ",11,28,"$192,923 "
Uncle Drew,19,"$483,789 ","$41,375,460 ",6,29,"$191,864 "
Deadpool 2,24,"$278,968 ","$317,677,822 ",12,30,"$184,930 "
Tag,25,"$278,875 ","$53,548,050 ",8,31,"$184,898 "
McQueen,35,"$83,461 ","$246,783 ",3,32,"$181,638 "
Don't Worry He Won't Get Far on Foot,22,"$334,819 ","$844,351 ",4,33,"$149,222 "
RBG,30,"$122,754 ","$13,382,500 ",14,36,"$107,634 "
Hereditary,29,"$124,460 ","$43,746,600 ",9,38,"$66,527 "
The Fall of the American Empire,34,"$104,352 ","$1,636,607 ",6,39,"$65,575 "
The Cakemaker,38,"$67,649 ","$478,533 ",6,40,"$54,527 "
Generation Wealth,40,"$35,392 ","$93,905 ",3,41,"$50,883 "
Book Club,36,"$82,085 ","$68,413,858 ",12,43,"$47,867 "
Black Panther,78,"$2,501 ","$699,954,935 ",25,46,"$37,389 "
Yellow Submarine (2018 re-release),43,"$32,183 ","$770,606 ",5,47,"$29,347 "
Far from the Tree,52,"$14,560 ","$39,817 ",3,48,"$27,704 "
A Beautiful Planet,48,"$21,184 ","$14,778,136 ",119,50,"$24,919 "
Sanju,37,"$78,547 ","$7,816,111 ",6,51,"$24,199 "
Whitney,46,"$27,198 ","$2,907,931 ",5,52,"$21,051 "
The King (2018),54,"$13,590 ","$207,447 ",7,53,"$16,353 "
Superfly,61,"$8,017 ","$20,517,147 ",8,54,"$14,993 "
Gauguin: Voyage to Tahiti,49,"$17,338 ","$138,293 ",4,55,"$13,752 "
1945,83,"$2,085 ","$789,147 ",40,56,"$13,324 "
Hearts Beat Loud,45,"$27,377 ","$2,323,237 ",9,57,"$13,278 "
Show Dogs,57,"$9,864 ","$17,754,549 ",12,59,"$11,950 "
The Catcher Was a Spy,51,"$16,968 ","$676,447 ",7,62,"$8,659 "
The Third Murder,56,"$10,184 ","$30,025 ",3,64,"$7,515 "
Ryuichi Sakamoto: Coda,58,"$9,416 ","$65,977 ",5,65,"$7,297 "
Woman Walks Ahead,67,"$5,478 ","$42,126 ",6,68,"$5,845 "
The Guardians,108,$184 ,"$163,264 ",14,69,"$5,163 "
Boundaries,55,"$12,702 ","$665,969 ",7,70,"$5,152 "
American Animals,59,"$9,101 ","$2,809,848 ",10,72,"$4,690 "
Isle Of Dogs,70,"$4,360 ","$31,974,390 ",20,73,"$4,544 "
Damsel,74,"$3,440 ","$293,094 ",7,77,"$3,777 "
Mountain,84,"$2,066 ","$360,508 ",13,80,"$2,867 "
Wanda (2018 re-release),73,"$3,875 ","$25,216 ",3,81,"$2,771 "
The Rider,66,"$5,898 ","$2,361,611 ",17,82,"$2,573 "
Poor Boy,82,"$2,260 ","$22,993 ",4,83,"$2,332 "
The Gospel According to André,86,"$1,753 ","$395,207 ",11,85,"$2,020 "
Holy Hell (2018),72,"$3,909 ","$29,009 ",3,86,"$1,736 "
Mrs. Hyde,109,$141 ,"$17,107 ",15,87,"$1,518 "
The Seagull,76,"$2,931 ","$1,248,380 ",13,89,"$1,126 "
Five Seasons: The Gardens of Piet Oudolf,81,"$2,270 ","$96,343 ",8,90,"$1,117 "
Under the Tree,71,"$3,954 ","$54,877 ",5,92,"$1,010 "
Hubble 3D,107,$188 ,"$52,326,227 ",438,93,$984 
The Desert Bride,88,"$1,608 ","$25,306 ",14,94,$948 
Journey to the South Pacific,92,$854 ,"$7,635,749 ",245,98,$602 
Araby,90,"$1,232 ","$32,401 ",7,99,$571 
Bye Bye Germany,87,"$1,655 ","$64,236 ",17,100,$514 
Ava,89,"$1,588 ","$17,458 ",15,101,$440 
Jet Trash,102,$275 ,"$22,466 ",15,102,$402 
En el Septimo Dia (On the Seventh Day),68,"$4,696 ","$67,893 ",9,103,$393 
Milford Graves Full Mantis,77,"$2,680 ","$18,277 ",4,104,$297 
The Day After,104,$209 ,"$24,020 ",13,105,$141 
Mission: Impossible - Fallout,1,"$35,323,815 ","$124,811,186 ",3,2,"$19,352,090 "
Mamma Mia! Here We Go Again,4,"$9,003,030 ","$91,247,580 ",4,7,"$5,861,715 "
The Equalizer 2,5,"$8,755,907 ","$79,812,172 ",4,8,"$5,408,237 "
