Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Nov 21-23,2014,47,"$184,467,355 ",46.70%,"$194,683,879 ",38.50%,97,The Hunger Games: Mockingjay - Part 1,/weekend/2014W47/?ref_=bo_wey_table_8
Nov 14-16,2014,46,"$125,728,488 ",-11.90%,"$140,548,635 ",-10.50%,108,Dumb and Dumber To,/weekend/2014W46/?ref_=bo_wey_table_9
Nov 7-9,2014,45,"$142,643,895 ",90.60%,"$157,108,227 ",65.40%,121,Big Hero 6,/weekend/2014W45/?ref_=bo_wey_table_10
Oct 31-Nov 2,2014,44,"$74,843,496 ",-22.90%,"$94,999,696 ",-18.10%,120,Ouija,/weekend/2014W44/?ref_=bo_wey_table_11
Oct 24-26,2014,43,"$97,071,579 ",-15.80%,"$116,024,797 ",-12%,122,Ouija,/weekend/2014W43/?ref_=bo_wey_table_12
Oct 17-19,2014,42,"$115,233,422 ",-12.30%,"$131,793,399 ",-10.60%,117,Fury,/weekend/2014W42/?ref_=bo_wey_table_13
Oct 10-13Columbus Day wknd,2014,41,"$150,009,908 ",25.80%,"$166,940,703 ",27%,63,Gone Girl,/weekend/2014W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_15
Oct 3-5,2014,40,"$136,249,161 ",42%,"$149,452,204 ",38.80%,123,Gone Girl,/weekend/2014W40/?ref_=bo_wey_table_16
Sep 26-28,2014,39,"$95,966,661 ",6.60%,"$107,678,203 ",4.30%,131,The Equalizer,/weekend/2014W39/?ref_=bo_wey_table_17
Sep 19-21,2014,38,"$90,003,667 ",22.80%,"$103,238,746 ",12.90%,124,The Maze Runner,/weekend/2014W38/?ref_=bo_wey_table_18
Sep 12-14,2014,37,"$73,297,493 ",52.40%,"$91,402,770 ",38.10%,122,No Good Deed,/weekend/2014W37/?ref_=bo_wey_table_19
Sep 5-7,2014,36,"$48,083,368 ",-41.90%,"$66,163,578 ",-39.60%,120,Guardians of the Galaxy,/weekend/2014W36/?ref_=bo_wey_table_20
Aug 29-Sep 1Labor Day wknd,2014,35,"$107,180,218 ",-2.60%,"$141,284,370 ",-12.90%,94,Guardians of the Galaxy,/weekend/2014W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_22
Aug 22-24,2014,34,"$97,178,514 ",-22.20%,"$114,968,447 ",-19.50%,104,Guardians of the Galaxy,/weekend/2014W34/?ref_=bo_wey_table_23
Aug 15-17,2014,33,"$124,986,010 ",-26.40%,"$142,851,832 ",-23.30%,105,Teenage Mutant Ninja Turtles,/weekend/2014W33/?ref_=bo_wey_table_24
Aug 8-10,2014,32,"$169,712,505 ",1.10%,"$186,257,061 ",-,115,Teenage Mutant Ninja Turtles,/weekend/2014W32/?ref_=bo_wey_table_25
Aug 1-3,2014,31,"$167,783,615 ",27.10%,"$186,409,629 ",20.40%,109,Guardians of the Galaxy,/weekend/2014W31/?ref_=bo_wey_table_26
Jul 25-27,2014,30,"$132,017,659 ",1.10%,"$154,787,126 ",3.70%,117,Lucy,/weekend/2014W30/?ref_=bo_wey_table_27
Jul 18-20,2014,29,"$130,550,571 ",-2.40%,"$149,206,140 ",-0.70%,104,Dawn of the Planet of the Apes,/weekend/2014W29/?ref_=bo_wey_table_28
Jul 11-13,2014,28,"$133,801,344 ",16%,"$150,191,251 ",13.40%,117,Dawn of the Planet of the Apes,/weekend/2014W28/?ref_=bo_wey_table_29
Jul 4-6,2014,27,"$115,345,546 ",-32.60%,"$132,438,349 ",-26.50%,110,Transformers: Age of Extinction,/weekend/2014W27/?ref_=bo_wey_table_30
Jun 27-29,2014,26,"$171,037,682 ",26%,"$180,104,687 ",23.40%,124,Transformers: Age of Extinction,/weekend/2014W26/?ref_=bo_wey_table_31
Jun 20-22,2014,25,"$135,785,499 ",-23.40%,"$145,919,699 ",-22%,112,Think Like a Man Too,/weekend/2014W25/?ref_=bo_wey_table_32
Jun 13-15,2014,24,"$177,277,722 ",15.30%,"$187,054,204 ",14.80%,124,22 Jump Street,/weekend/2014W24/?ref_=bo_wey_table_33
Jun 6-8,2014,23,"$153,810,858 ",-2.50%,"$162,996,895 ",-2.10%,111,The Fault in Our Stars,/weekend/2014W23/?ref_=bo_wey_table_34
May 30-Jun 1,2014,22,"$157,680,341 ",-10.10%,"$166,531,884 ",-11.10%,110,Maleficent,/weekend/2014W22/?ref_=bo_wey_table_35
