Dates,year,Week,Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release
Jul 8-10,2011,27,"$140,474,359",-24.6%,"$156,322,000",-22.7%,118,Transformers: Dark of the Moon
Jul 1-4July 4th long wknd,2011,26,"$222,359,534",-6.7%,"$241,553,443",-3.5%,102,Transformers: Dark of the Moon
Jul 1-3,2011,26,"$186,283,764",+13%,"$202,163,864",+14.2%,106,Transformers: Dark of the Moon
Jun 24-26,2011,25,"$164,865,297",+13.5%,"$177,057,217",+15.2%,116,Cars 2
Jun 17-19,2011,24,"$145,208,661",+10.7%,"$153,747,605",+11.4%,106,Green Lantern
Jun 10-12,2011,23,"$131,188,107",-13.9%,"$138,055,726",-13.5%,107,Super 8
Jun 3-5,2011,22,"$152,390,551",-28.6%,"$159,624,804",-28.4%,114,X-Men: First Class
May 27-30Memorial Day wknd,2011,21,"$264,689,498",+45.1%,"$276,889,541",+43.7%,106,The Hangover Part II
May 27-29,2011,21,"$213,334,314",+36%,"$223,026,879",+33%,109,The Hangover Part II
May 20-22,2011,20,"$156,858,984",+23.7%,"$167,642,580",+19.4%,120,Pirates of the Caribbean: On Stranger Tides
May 13-15,2011,19,"$126,805,764",-16.9%,"$140,371,451",-15.8%,127,Thor
May 6-8,2011,18,"$152,646,352",+8.8%,"$166,748,986",+4.9%,128,Thor
Apr 29-May 1,2011,17,"$140,262,298",+22.5%,"$158,940,090",+16.5%,120,Fast Five
Apr 22-25Easter wknd,2011,16,"$126,821,991",-32.4%,"$149,092,004",-24.9%,51,Rio
Apr 22-24,2011,16,"$114,486,342",+3.5%,"$136,378,142",+4.9%,128,Rio
Apr 15-17,2011,15,"$110,573,140",+12.4%,"$130,061,017",+12%,116,Rio
Apr 8-10,2011,14,"$98,389,397",-10.6%,"$116,090,490",-7.1%,125,Hop
Apr 1-3,2011,13,"$110,113,006",+5.2%,"$124,938,387",+2.9%,125,Hop
Mar 25-27,2011,12,"$104,688,038",+5.9%,"$121,453,235",+5.6%,126,Diary of a Wimpy Kid: Rodrick Rules
Mar 18-20,2011,11,"$98,816,142",-11.7%,"$114,962,242",-11.2%,121,Limitless
Mar 11-13,2011,10,"$111,935,077",-2.2%,"$129,391,313",-3.4%,118,Battle Los Angeles
Mar 4-6,2011,9,"$114,398,546",+23.6%,"$133,918,873",+21.9%,107,Rango
Feb 25-27,2011,8,"$92,540,158",-26.4%,"$109,830,377",-24%,108,Hall Pass
Feb 18-21Presidents' Day wknd,2011,7,"$150,746,871",-29.4%,"$173,631,940",-27.5%,100,Unknown
Feb 18-20,2011,7,"$125,712,044",-2.1%,"$144,525,447",-3.3%,107,Unknown
Feb 11-13,2011,6,"$128,358,223",+87.9%,"$149,414,721",+71.2%,113,Just Go with It
Feb 4-6,2011,5,"$68,315,090",-21.7%,"$87,257,927",-20.1%,114,The Roommate
Jan 28-30,2011,4,"$87,300,754",+4.6%,"$109,215,038",+6.3%,104,The Rite
Jan 21-23,2011,3,"$83,445,232",-22.6%,"$102,730,950",-21.2%,105,No Strings Attached
Jan 14-16,2011,2,"$107,824,706",+20.6%,"$130,305,168",+16%,106,The Green Hornet
Jan 14-17MLK wknd,2011,2,"$130,346,506",-28.8%,"$158,959,357",-24.1%,86,The Green Hornet
Jan 7-9,2011,1,"$89,402,192",-34.9%,"$112,291,954",-29.5%,99,True Grit
"Dec 31-Jan 2, 2011",2010,53,"$137,343,062",+10.6%,"$159,345,245",+13.9%,99,Little Fockers
Dec 24-26,2010,52,"$124,133,496",-0.7%,"$139,938,201",+3.9%,97,Little Fockers
Dec 17-19,2010,51,"$124,993,526",+53.3%,"$134,672,257",+46.6%,112,TRON: Legacy
Dec 10-12,2010,50,"$81,560,957",+8.7%,"$91,871,496",+6.4%,119,The Chronicles of Narnia: The Voyage of the Dawn Treader
Dec 3-5,2010,49,"$75,004,741",-55.3%,"$86,325,286",-52.4%,119,Tangled
Nov 26-28,2010,48,"$167,833,958",-2.6%,"$181,242,458",-2.7%,103,Harry Potter and the Deathly Hallows: Part 1
Nov 25-28Thanksgiving 4-Day,2010,47,"$201,819,715",-4.8%,"$215,713,375",-4.2%,49,Harry Potter and the Deathly Hallows: Part 1
Nov 24-28Thanksgiving 5-Day,2010,47,"$242,152,785",-3.7%,"$257,951,386",-3.3%,48,Harry Potter and the Deathly Hallows: Part 1
Nov 19-21,2010,47,"$184,491,055",+71.3%,"$194,526,066",+60.2%,114,Harry Potter and the Deathly Hallows: Part 1
Nov 12-14,2010,46,"$107,692,567",-22%,"$121,393,329",-20.3%,123,Megamind
Nov 5-7,2010,45,"$138,136,720",+68.3%,"$152,229,980",+62.8%,124,Megamind
Oct 29-31,2010,44,"$82,076,962",-30%,"$93,503,374",-27.9%,125,Saw: The Final Chapter
Oct 22-24,2010,43,"$117,205,902",+0.1%,"$129,623,238",-1.5%,126,Paranormal Activity 2
Oct 15-17,2010,42,"$117,078,913",+52.3%,"$131,587,463",+41.7%,144,Jackass 3D
Oct 8-10,2010,41,"$76,880,100",-6.9%,"$92,845,180",-2.3%,133,The Social Network
Oct 8-11Columbus Day wknd,2010,41,"$87,413,887",-17%,"$103,670,689",-16%,52,The Social Network
Oct 1-3,2010,40,"$82,543,307",-7.2%,"$95,043,566",-5.6%,140,The Social Network
Sep 24-26,2010,39,"$88,901,910",+5.4%,"$100,709,968",-,138,Wall Street: Money Never Sleeps
Sep 17-19,2010,38,"$84,334,484",+36.7%,"$100,674,305",+22.8%,135,The Town
Sep 10-12,2010,37,"$61,707,602",-17.2%,"$81,958,202",-22%,123,Resident Evil: Afterlife
Sep 3-5,2010,36,"$74,512,580",-14.6%,"$105,085,438",-8.5%,113,The American
Sep 3-6Labor Day wknd,2010,36,"$93,408,796",-3%,"$132,758,175",+6.7%,111,The American
Aug 27-29,2010,35,"$87,206,831",-14.6%,"$114,807,532",-10.6%,113,Takers
Aug 20-22,2010,34,"$102,089,078",-20.1%,"$128,353,711",-10.6%,115,The Expendables
Aug 13-15,2010,33,"$127,804,668",+8.5%,"$143,572,917",+7.7%,110,The Expendables
Aug 6-8,2010,32,"$117,746,775",-8.6%,"$133,296,768",-8.2%,110,The Other Guys
Jul 30-Aug 1,2010,31,"$128,821,145",-14.6%,"$145,266,883",-10.5%,106,Inception
Jul 23-25,2010,30,"$150,757,392",-10.9%,"$162,240,124",-8.9%,103,Inception
Jul 16-18,2010,29,"$169,206,774",-7.3%,"$178,138,271",-7.1%,106,Inception
Jul 9-11,2010,28,"$182,442,390",+1.9%,"$191,704,186",+1.9%,110,Despicable Me
Jul 2-5July 4th long wknd,2010,27,"$238,231,616",+16.9%,"$250,408,407",+10.9%,96,The Twilight Saga: Eclipse
Jul 2-4,2010,27,"$179,066,707",+16%,"$188,212,207",+13.9%,101,The Twilight Saga: Eclipse
Jun 25-27,2010,26,"$154,390,043",-17.7%,"$165,180,607",-17.3%,106,Toy Story 3
Jun 18-20,2010,25,"$187,642,041",+33.6%,"$199,685,836",+31.8%,116,Toy Story 3
Jun 11-13,2010,24,"$140,451,060",+16.5%,"$151,488,729",+17.6%,117,The Karate Kid
Jun 4-6,2010,23,"$120,565,073",-16.2%,"$128,826,490",-15.2%,120,Shrek Forever After
May 28-30,2010,22,"$143,797,811",+1.7%,"$151,897,664",+0.9%,105,Shrek Forever After
May 28-31Memorial Day wknd,2010,22,"$182,383,311",-13.9%,"$192,706,796",-13.2%,103,Shrek Forever After
May 21-23,2010,21,"$141,404,309",+9.4%,"$150,510,497",+7.8%,114,Shrek Forever After
May 14-16,2010,20,"$129,275,088",-22.9%,"$139,644,680",-22.3%,116,Iron Man 2
May 7-9,2010,19,"$167,701,822",+90.7%,"$179,789,106",+75.9%,116,Iron Man 2
Apr 30-May 2,2010,18,"$87,924,993",+2.5%,"$102,227,580",+2.1%,116,A Nightmare on Elm Street
Apr 23-25,2010,17,"$85,792,705",-20.6%,"$100,098,936",-16.7%,117,How to Train Your Dragon
Apr 16-18,2010,16,"$108,077,823",-8.1%,"$120,177,056",-5.8%,117,Kick-Ass
Apr 9-11,2010,15,"$117,570,469",-29.3%,"$127,582,200",-28.2%,115,Clash of the Titans
Apr 2-5Easter wknd,2010,14,"$187,711,319",+36.8%,"$198,446,177",+33.9%,44,Clash of the Titans
Apr 2-4,2010,14,"$166,220,519",+47.1%,"$177,632,872",+38.1%,112,Clash of the Titans
Mar 26-28,2010,13,"$113,036,610",+2%,"$128,664,080",+1.3%,112,How to Train Your Dragon
Mar 19-21,2010,12,"$110,799,129",-14.5%,"$126,978,873",-13.9%,109,Alice in Wonderland
Mar 12-14,2010,11,"$129,609,144",-29%,"$147,526,258",-25.1%,106,Alice in Wonderland
Mar 5-7,2010,10,"$182,536,400",+75.2%,"$196,996,205",+65.3%,107,Alice in Wonderland
Feb 26-28,2010,9,"$104,201,694",-12%,"$119,202,708",-11%,107,Shutter Island
Feb 19-21,2010,8,"$118,472,680",-35.3%,"$133,902,273",-34.6%,108,Shutter Island
Feb 12-15Presidents' Day wknd,2010,7,"$213,524,058",+21.2%,"$239,380,299",+8.8%,87,Valentine's Day
Feb 12-14,2010,7,"$182,998,695",+93.1%,"$204,746,196",+79.6%,95,Valentine's Day
Feb 5-7,2010,6,"$94,786,281",-8.8%,"$113,987,051",-9.1%,100,Dear John
Jan 29-31,2010,5,"$103,970,747",-13.4%,"$125,460,594",-13.1%,93,Avatar
Jan 22-24,2010,4,"$120,045,516",-19.4%,"$144,384,498",-15.1%,93,Avatar
Jan 15-17,2010,3,"$148,859,116",+2.6%,"$170,071,252",+6.1%,96,Avatar
Jan 15-18MLK wknd,2010,3,"$183,162,436",-0.8%,"$209,509,035",-9.4%,83,Avatar
Jan 8-10,2010,2,"$145,045,666",-29%,"$160,275,182",-27.2%,86,Avatar
Jan 1-3,2010,1,"$204,295,752",-20%,"$220,307,116",-18.4%,80,Avatar
Dec 25-27,2009,52,"$255,212,095",+102%,"$270,119,719",+95.8%,83,Avatar
Dec 18-20,2009,51,"$126,343,342",+52.9%,"$137,963,395",+42.1%,96,Avatar
Dec 11-13,2009,50,"$82,656,512",-4.2%,"$97,058,602",-2.6%,104,The Princess and the Frog
Dec 4-6,2009,49,"$86,237,399",-50%,"$99,663,975",-46.5%,113,The Blind Side
Nov 27-29,2009,48,"$172,369,237",-30.2%,"$186,348,522",-27.9%,109,The Twilight Saga: New Moon
Nov 26-29Thanksgiving 4-Day,2009,47,"$212,001,958",+14.6%,"$225,057,670",+15.9%,55,The Twilight Saga: New Moon
Nov 25-29Thanksgiving 5-Day,2009,47,"$251,418,028",+15.2%,"$266,644,110",+16.6%,55,The Twilight Saga: New Moon
Nov 20-22,2009,47,"$246,948,248",+98.9%,"$258,576,253",+84.7%,123,The Twilight Saga: New Moon
Nov 13-15,2009,46,"$124,130,245",+20.6%,"$139,985,928",+16.8%,128,2012
Nov 6-8,2009,45,"$102,932,989",+32.8%,"$119,864,425",+31.9%,128,A Christmas Carol
Oct 30-Nov 1,2009,44,"$77,489,382",-23.2%,"$90,874,415",-21.7%,133,This Is It
Oct 23-25,2009,43,"$100,949,943",-19%,"$116,118,451",-16.2%,135,Paranormal Activity
Oct 16-18,2009,42,"$124,637,638",+35.6%,"$138,588,159",+25.9%,135,Where the Wild Things Are
Oct 9-11,2009,41,"$91,892,437",+5.1%,"$110,115,725",+2.8%,133,Couples Retreat
Oct 9-12Columbus Day wknd,2009,41,"$105,261,988",+15.1%,"$123,465,598",+9.2%,57,Couples Retreat
Oct 2-4,2009,40,"$87,465,911",+10.2%,"$107,092,990",+10.6%,130,Zombieland
Sep 25-27,2009,39,"$79,376,189",-4.6%,"$96,863,428",-5%,137,Cloudy with a Chance of Meatballs
Sep 18-20,2009,38,"$83,214,524",+16.5%,"$101,915,572",+10.4%,132,Cloudy with a Chance of Meatballs
Sep 11-13,2009,37,"$71,451,514",-6.5%,"$92,274,610",-5.6%,122,I Can Do Bad All by Myself
Sep 4-7Labor Day wknd,2009,36,"$96,256,938",+12%,"$124,476,257",+0.6%,108,The Final Destination
Sep 4-6,2009,36,"$76,384,281",-27.5%,"$97,776,362",-21.8%,110,The Final Destination
Aug 28-30,2009,35,"$105,329,392",-1.1%,"$125,028,168",-1.8%,119,The Final Destination
Aug 21-23,2009,34,"$106,503,767",-10.6%,"$127,268,259",-10.7%,120,Inglourious Basterds
Aug 14-16,2009,33,"$119,101,428",-5.2%,"$142,476,028",-3.1%,116,District 9
Aug 7-9,2009,32,"$125,660,546",+17.3%,"$147,046,404",+15.1%,115,G.I. Joe: The Rise of Cobra
Jul 31-Aug 2,2009,31,"$107,143,812",-22.5%,"$127,760,028",-15.7%,119,Funny People
Jul 24-26,2009,30,"$138,205,853",-8.1%,"$151,593,131",-5.6%,112,G-Force
Jul 17-19,2009,29,"$150,389,463",+13.7%,"$160,546,686",+12%,112,Harry Potter and the Half-Blood Prince
Jul 10-12,2009,28,"$132,244,941",-13.4%,"$143,315,556",-11.8%,107,Brüno
Jul 3-5,2009,27,"$152,619,904",-19.9%,"$162,461,789",-19.1%,103,Transformers: Revenge of the Fallen
Jun 26-28,2009,26,"$190,609,317",+36.4%,"$200,752,945",+33%,114,Transformers: Revenge of the Fallen
Jun 19-21,2009,25,"$139,770,972",+8.1%,"$150,983,198",+9.5%,124,The Proposal
Jun 12-14,2009,24,"$129,330,317",-18.1%,"$137,931,239",-16.7%,125,The Hangover
Jun 5-7,2009,23,"$157,921,508",-1.2%,"$165,598,060",-0.3%,120,The Hangover
May 29-31,2009,22,"$159,873,985",-5%,"$166,122,627",-5.8%,110,Up
May 22-24,2009,21,"$168,355,487",+31.4%,"$176,294,011",+28.3%,112,Night at the Museum: Battle of the Smithsonian
May 22-25Memorial Day wknd,2009,21,"$211,868,707",-0.2%,"$221,901,103",+1.1%,112,Night at the Museum: Battle of the Smithsonian
May 15-17,2009,20,"$128,079,406",-7.8%,"$137,460,577",-8.1%,112,Angels & Demons
May 8-10,2009,19,"$138,843,581",-5.3%,"$149,643,723",-5.5%,118,Star Trek
May 1-3,2009,18,"$146,572,798",+46.1%,"$158,300,469",+39%,109,X-Men Origins: Wolverine
Apr 24-26,2009,17,"$100,327,984",+3%,"$113,860,937",+4.9%,118,Obsessed
Apr 17-19,2009,16,"$97,370,546",-20.3%,"$108,497,129",-18.8%,119,17 Again
Apr 10-13Easter wknd,2009,15,"$137,209,381",+27.6%,"$148,228,465",+18.2%,49,Hannah Montana: The Movie
Apr 10-12,2009,15,"$122,113,373",-16.4%,"$133,634,913",-13.9%,112,Hannah Montana: The Movie
Apr 3-5,2009,14,"$146,086,888",+7%,"$155,220,674",+6%,109,Fast & Furious
Mar 27-29,2009,13,"$136,575,156",+46.6%,"$146,427,563",+38.9%,106,Monsters vs. Aliens
Mar 20-22,2009,12,"$93,174,791",+10.7%,"$105,454,531",+4.7%,109,Knowing2009 Re-release
Mar 13-15,2009,11,"$84,204,182",-13.8%,"$100,713,824",-13.8%,102,Race to Witch Mountain
Mar 6-8,2009,10,"$97,720,570",+21.4%,"$116,828,485",+4.7%,110,Watchmen
Feb 27-Mar 1,2009,9,"$80,508,972",-28.2%,"$111,557,492",-21.7%,99,Madea Goes to Jail
Feb 20-22,2009,8,"$112,141,559",-26.2%,"$142,472,042",-24.6%,95,Madea Goes to Jail
Feb 13-15,2009,7,"$151,899,971",+22.5%,"$188,927,999",+22.2%,93,Friday the 13th
Feb 13-16Presidents' Day wknd,2009,7,"$176,130,106",+31.7%,"$220,039,425",+31.4%,91,Friday the 13th
Feb 6-8,2009,6,"$124,041,046",+29.3%,"$154,595,414",+21.9%,93,He's Just Not That Into You
Jan 30-Feb 1,2009,5,"$95,933,299",-19.1%,"$126,798,123",-20.9%,93,Taken
Jan 23-25,2009,4,"$118,605,040",-23.2%,"$160,294,864",-16.9%,91,Paul Blart: Mall Cop
Jan 16-18,2009,3,"$154,456,350",+27.1%,"$192,904,086",+31.7%,90,Paul Blart: Mall Cop
Jan 16-19MLK wknd,2009,3,"$184,673,846",+21.9%,"$231,208,273",+23.6%,85,Paul Blart: Mall Cop
Jan 9-11,2009,2,"$121,541,116",-1.4%,"$146,505,600",-4.5%,92,Gran Torino
Jan 2-4,2009,1,"$123,210,617",-27.5%,"$153,373,765",-23.9%,89,Marley & Me
Dec 26-28,2008,52,"$169,982,431",+119.5%,"$201,594,006",+127.8%,85,Marley & Me
Dec 19-21,2008,51,"$77,424,767",-1.4%,"$88,506,299",-3.5%,92,Yes Man
Dec 12-14,2008,50,"$78,517,597",+6.9%,"$91,696,655",+11.2%,105,The Day the Earth Stood Still
Dec 5-7,2008,49,"$73,440,488",-51.8%,"$82,434,771",-49.3%,115,Four Christmases
Nov 28-30,2008,48,"$152,333,947",-1.6%,"$162,603,106",-1.3%,105,Four Christmases
Nov 27-30Thanksgiving 4-Day,2008,47,"$185,072,958",+9.4%,"$194,205,391",+0.3%,53,Four Christmases
Nov 26-30Thanksgiving 5-Day,2008,47,"$218,303,171",+9.1%,"$228,766,509",+0.2%,53,Four Christmases
Nov 21-23,2008,47,"$154,817,872",+14.9%,"$164,744,894",+10.8%,118,Twilight
Nov 14-16,2008,46,"$134,787,672",+9.2%,"$148,685,590",+4.3%,127,Quantum of Solace
Nov 7-9,2008,45,"$123,379,106",+78%,"$142,496,307",+62.5%,134,Madagascar: Escape 2 Africa
Oct 31-Nov 2,2008,44,"$69,307,204",-40.2%,"$87,673,009",-34.8%,140,High School Musical 3: Senior Year
Oct 24-26,2008,43,"$115,860,151",+44.8%,"$134,501,763",+34.2%,135,High School Musical 3: Senior Year
Oct 17-19,2008,42,"$79,992,286",-1%,"$100,261,162",-1.6%,131,Max Payne
Oct 10-12,2008,41,"$80,803,153",-10.8%,"$101,937,331",-10.3%,139,Beverly Hills Chihuahua
Oct 10-13Columbus Day wknd,2008,41,"$91,420,183",+27%,"$113,091,916",+22.6%,60,Beverly Hills Chihuahua
Oct 3-5,2008,40,"$90,629,110",+10.3%,"$113,697,851",+12.2%,126,Beverly Hills Chihuahua
Sep 26-28,2008,39,"$82,148,111",+12.8%,"$101,343,749",+13.5%,125,Eagle Eye
Sep 19-21,2008,38,"$72,805,930",-11.4%,"$89,307,263",-11.6%,137,Lakeview Terrace
Sep 12-14,2008,37,"$82,159,485",+77.3%,"$101,041,980",+48.6%,131,Burn After Reading
Sep 5-7,2008,36,"$46,350,874",-32.4%,"$68,005,476",-30.7%,126,Bangkok Dangerous
Aug 29-31,2008,35,"$68,515,837",-17.1%,"$98,191,562",-7.5%,121,Tropic Thunder
Aug 29-Sep 1Labor Day wknd,2008,35,"$85,925,307",-24.4%,"$123,794,714",-16.5%,120,Tropic Thunder
Aug 22-24,2008,34,"$82,667,170",-22.3%,"$106,158,138",-15.1%,120,Tropic Thunder
Aug 15-17,2008,33,"$106,423,430",-1.8%,"$125,105,639",+2.9%,123,Tropic Thunder
Aug 8-10,2008,32,"$108,322,998",-23.1%,"$121,575,179",-20.6%,123,The Dark Knight
Aug 1-3,2008,31,"$140,934,095",-17.4%,"$153,060,805",-15.4%,122,The Dark Knight
Jul 25-27,2008,30,"$170,701,895",-32%,"$180,876,759",-30.6%,120,The Dark Knight
Jul 18-20,2008,29,"$250,971,601",+79.4%,"$260,528,431",+72.1%,122,The Dark Knight
Jul 11-13,2008,28,"$139,919,684",-6.7%,"$151,360,113",-5.5%,127,Hellboy II: The Golden Army
Jul 4-6,2008,27,"$149,925,900",-15.3%,"$160,175,719",-13.6%,116,Hancock
Jun 27-29,2008,26,"$176,907,464",+30.2%,"$185,436,843",+29.5%,129,WALL·E
Jun 20-22,2008,25,"$135,822,136",-22.4%,"$143,215,343",-20.4%,123,Get Smart
Jun 13-15,2008,24,"$174,921,744",+3%,"$179,896,805",+2.5%,127,The Incredible Hulk
Jun 6-8,2008,23,"$169,909,290",+4.1%,"$175,464,379",+4.1%,123,Kung Fu Panda
May 30-Jun 1,2008,22,"$163,144,136",-2.1%,"$168,531,880",-2.2%,134,Sex and the City
May 23-25,2008,21,"$166,568,045",+33.5%,"$172,319,606",+30.1%,121,Indiana Jones and the Kingdom of the Crystal Skull
May 23-26Memorial Day wknd,2008,21,"$212,296,393",-13.1%,"$219,455,440",-14.1%,118,Indiana Jones and the Kingdom of the Crystal Skull
May 16-18,2008,20,"$124,788,668",+7.6%,"$132,484,294",+5.5%,135,The Chronicles of Narnia: Prince Caspian
May 9-11,2008,19,"$115,983,162",-21.9%,"$125,571,278",-21%,136,Iron Man
May 2-4,2008,18,"$148,431,129",+95.2%,"$159,000,645",+74.3%,135,Iron Man
Apr 25-27,2008,17,"$76,023,855",-4.6%,"$91,236,400",-2.8%,145,Baby Mama
Apr 18-20,2008,16,"$79,673,117",+2.4%,"$93,848,411",-1.4%,134,The Forbidden Kingdom
Apr 11-13,2008,15,"$77,792,738",+2.1%,"$95,162,842",-0.7%,125,Prom Night
Apr 4-6,2008,14,"$76,219,857",-10.9%,"$95,797,267",-10.4%,129,21
Mar 28-30,2008,13,"$85,512,670",-9.7%,"$106,960,934",-6.1%,123,21
Mar 21-24Easter wknd,2008,12,"$107,553,652",-9.2%,"$125,354,528",-9.5%,59,Horton Hears a Who!
Mar 21-23,2008,12,"$94,656,916",-7.1%,"$113,866,325",-5.7%,118,Horton Hears a Who!
Mar 14-16,2008,11,"$101,862,262",+17.2%,"$120,687,394",+12.4%,124,Horton Hears a Who!
Mar 7-9,2008,10,"$86,928,662",+17.7%,"$107,381,602",+9.9%,119,"10,000 BC"
Feb 29-Mar 2,2008,9,"$73,841,003",-13.3%,"$97,723,152",-11.5%,118,Semi-Pro
Feb 22-24,2008,8,"$85,162,089",-23.6%,"$110,410,094",-20.6%,114,Vantage Point
Feb 15-18Presidents' Day wknd,2008,7,"$133,761,458",-18%,"$167,469,892",-11.2%,100,Jumper
Feb 15-17,2008,7,"$111,505,912",+33.6%,"$139,052,789",+23.9%,99,Jumper
Feb 8-10,2008,6,"$83,480,396",-12%,"$112,262,045",-12.8%,107,Fool's Gold
Feb 1-3,2008,5,"$94,843,468",-13.1%,"$128,681,821",-10.7%,107,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert
Jan 25-27,2008,4,"$109,183,558",-13.8%,"$144,150,492",-6.8%,108,Meet the Spartans
Jan 18-20,2008,3,"$126,624,750",+28.2%,"$154,669,517",+18.6%,101,Cloverfield
Jan 18-21MLK wknd,2008,3,"$151,470,763",+37.4%,"$187,094,009",+19.8%,95,Cloverfield
Jan 11-13,2008,2,"$98,786,197",-12.2%,"$130,426,078",-6.7%,98,The Bucket List
Jan 4-6,2008,1,"$112,470,805",-28.8%,"$139,793,714",-24.8%,89,National Treasure: Book of Secrets
