Dates,year,Week,Top 10 Gross,%± LW,Overall Gross,%± LW.1,Releases,#1 Release
Aug 19-21,2016,34,"$112,417,199",-26.9%,"$132,091,889",-23.3%,111,Suicide Squad
Aug 12-14,2016,33,"$153,823,583",-29.4%,"$172,300,640",-24.7%,113,Suicide Squad
Aug 5-7,2016,32,"$217,747,182",+24.5%,"$228,766,926",+20.4%,101,Suicide Squad
Jul 29-31,2016,31,"$174,855,310",-2%,"$190,037,811",-3.1%,103,Jason Bourne
Jul 22-24,2016,30,"$178,420,955",+17.8%,"$196,083,640",+20.2%,103,Star Trek Beyond
Jul 15-17,2016,29,"$151,409,743",-26.5%,"$163,103,247",-25%,110,The Secret Life of Pets
Jul 8-10,2016,28,"$205,989,677",+14.7%,"$217,491,665",+14.1%,100,The Secret Life of Pets
Jul 1-4July 4th long wknd,2016,27,"$218,013,006",-2%,"$231,141,103",-4.3%,85,Finding Dory
Jul 1-3,2016,27,"$179,579,258",+1.4%,"$190,593,683",+1%,93,Finding Dory
Jun 24-26,2016,26,"$177,111,633",-20.6%,"$188,682,746",-19.1%,105,Finding Dory
Jun 17-19,2016,25,"$223,184,760",+59.9%,"$233,178,561",+52.6%,99,Finding Dory
Jun 10-12,2016,24,"$139,567,249",+12.8%,"$152,792,949",+13.2%,107,The Conjuring 2
Jun 3-5,2016,23,"$123,684,021",-21.4%,"$134,999,656",-17.8%,102,Teenage Mutant Ninja Turtles: Out of the Shadows
May 27-30Memorial Day wknd,2016,22,"$196,994,624",+7.7%,"$205,474,478",+5.5%,88,X-Men: Apocalypse
May 27-29,2016,22,"$157,294,653",+22.6%,"$164,133,840",+19.7%,109,X-Men: Apocalypse
May 20-22,2016,21,"$128,324,753",+4.3%,"$137,158,400",+4.8%,125,The Angry Birds Movie
May 13-15,2016,20,"$123,025,320",-47.1%,"$130,908,594",-45.3%,119,Captain America: Civil War
May 6-8,2016,19,"$232,395,976",+139.7%,"$239,468,632",+120.5%,114,Captain America: Civil War
Apr 29-May 1,2016,18,"$96,937,478",-17.6%,"$108,604,032",-15.4%,114,The Jungle Book
Apr 22-24,2016,17,"$117,626,464",-28.7%,"$128,304,144",-27.4%,115,The Jungle Book
Apr 15-17,2016,16,"$165,029,225",+81.1%,"$176,691,491",+67.9%,118,The Jungle Book
Apr 8-10,2016,15,"$91,145,188",-23.1%,"$105,246,691",-19.6%,119,The Boss
Apr 1-3,2016,14,"$118,559,272",-51.3%,"$130,889,005",-48.1%,114,Batman v Superman: Dawn of Justice
Mar 25-28Easter wknd,2016,13,"$270,066,590",+12.1%,"$278,486,400",+12.7%,54,Batman v Superman: Dawn of Justice
Mar 25-27,2016,13,"$243,491,430",+110.3%,"$252,300,615",+92.1%,104,Batman v Superman: Dawn of Justice
Mar 18-20,2016,12,"$115,774,645",-2%,"$131,307,311",-3%,121,Zootopia
Mar 11-13,2016,11,"$118,186,835",-17.1%,"$135,301,106",-16.2%,111,Zootopia
Mar 4-6,2016,10,"$142,568,989",+56.2%,"$161,499,059",+43.7%,99,Zootopia
Feb 26-28,2016,9,"$91,278,176",-24.6%,"$112,386,016",-20.8%,91,Deadpool
Feb 19-21,2016,8,"$121,119,706",-43.9%,"$141,851,056",-40.7%,106,Deadpool
Feb 12-15Presidents' Day wknd,2016,7,"$250,977,099",+11%,"$278,484,327",+12.7%,87,Deadpool
Feb 12-14,2016,7,"$215,810,637",+186.2%,"$239,154,233",+150.4%,103,Deadpool
Feb 5-7,2016,6,"$75,395,999",-36.3%,"$95,508,876",-31.4%,100,Kung Fu Panda 3
