Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
May 8-10,2009,19,138843581,-5.30%,149643723,-5.50%,118,Star Trek,/weekend/2009W19/?ref_=bo_wey_table_39
May 1-3,2009,18,146572798,46.10%,158300469,39%,109,X-Men Origins: Wolverine,/weekend/2009W18/?ref_=bo_wey_table_40
Apr 24-26,2009,17,100327984,3%,113860937,4.90%,118,Obsessed,/weekend/2009W17/?ref_=bo_wey_table_41
Apr 17-19,2009,16,97370546,-20.30%,108497129,-18.80%,119,17 Again,/weekend/2009W16/?ref_=bo_wey_table_42
Apr 10-13Easter wknd,2009,15,137209381,27.60%,148228465,18.20%,49,Hannah Montana: The Movie,/weekend/2009W15/occasion/easter_weekend/?ref_=bo_wey_table_43
Apr 3-5,2009,14,146086888,7%,155220674,6%,109,Fast & Furious,/weekend/2009W14/?ref_=bo_wey_table_45
Mar 27-29,2009,13,136575156,46.60%,146427563,38.90%,106,Monsters vs. Aliens,/weekend/2009W13/?ref_=bo_wey_table_46
Mar 20-22,2009,12,93174791,10.70%,105454531,4.70%,109,Knowing2009 Re-release,/weekend/2009W12/?ref_=bo_wey_table_47
Mar 13-15,2009,11,84204182,-13.80%,100713824,-13.80%,102,Race to Witch Mountain,/weekend/2009W11/?ref_=bo_wey_table_48
Mar 6-8,2009,10,97720570,21.40%,116828485,4.70%,110,Watchmen,/weekend/2009W10/?ref_=bo_wey_table_49
Feb 27-Mar 1,2009,9,80508972,-28.20%,111557492,-21.70%,99,Madea Goes to Jail,/weekend/2009W09/?ref_=bo_wey_table_50
Feb 20-22,2009,8,112141559,-26.20%,142472042,-24.60%,95,Madea Goes to Jail,/weekend/2009W08/?ref_=bo_wey_table_51
Feb 13-16Presidents' Day wknd,2009,7,176130106,31.70%,220039425,31.40%,91,Friday the 13th,/weekend/2009W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_53
Feb 6-8,2009,6,124041046,29.30%,154595414,21.90%,93,He's Just Not That Into You,/weekend/2009W06/?ref_=bo_wey_table_54
Jan 30-Feb 1,2009,5,95933299,-19.10%,126798123,-20.90%,93,Taken,/weekend/2009W05/?ref_=bo_wey_table_55
Jan 23-25,2009,4,118605040,-23.20%,160294864,-16.90%,91,Paul Blart: Mall Cop,/weekend/2009W04/?ref_=bo_wey_table_56
Jan 16-19MLK wknd,2009,3,184673846,21.90%,231208273,23.60%,85,Paul Blart: Mall Cop,/weekend/2009W03/occasion/us_mlkday_weekend/?ref_=bo_wey_table_58
Jan 9-11,2009,2,121541116,-1.40%,146505600,-4.50%,92,Gran Torino,/weekend/2009W02/?ref_=bo_wey_table_59
Jan 2-4,2009,1,123210617,-27.50%,153373765,-23.90%,89,Marley & Me,/weekend/2009W01/?ref_=bo_wey_table_60
Dec 26-28,2008,52,169982431,119.50%,201594006,127.80%,85,Marley & Me,/weekend/2008W52/?ref_=bo_wey_table_1
Dec 19-21,2008,51,77424767,-1.40%,88506299,-3.50%,92,Yes Man,/weekend/2008W51/?ref_=bo_wey_table_2
Dec 12-14,2008,50,78517597,6.90%,91696655,11.20%,105,The Day the Earth Stood Still,/weekend/2008W50/?ref_=bo_wey_table_3
Dec 5-7,2008,49,73440488,-51.80%,82434771,-49.30%,115,Four Christmases,/weekend/2008W49/?ref_=bo_wey_table_4
Nov 26-30Thanksgiving 5-Day,2008,48,218303171,9.10%,228766509,0.20%,53,Four Christmases,/weekend/2008W47/occasion/us_thanksgiving_5/?ref_=bo_wey_table_7
Nov 21-23,2008,47,154817872,14.90%,164744894,10.80%,118,Twilight,/weekend/2008W47/?ref_=bo_wey_table_8
Nov 14-16,2008,46,134787672,9.20%,148685590,4.30%,127,Quantum of Solace,/weekend/2008W46/?ref_=bo_wey_table_9
Nov 7-9,2008,45,123379106,78%,142496307,62.50%,134,Madagascar: Escape 2 Africa,/weekend/2008W45/?ref_=bo_wey_table_10
Oct 31-Nov 2,2008,44,69307204,-40.20%,87673009,-34.80%,140,High School Musical 3: Senior Year,/weekend/2008W44/?ref_=bo_wey_table_11
Oct 24-26,2008,43,115860151,44.80%,134501763,34.20%,135,High School Musical 3: Senior Year,/weekend/2008W43/?ref_=bo_wey_table_12
Oct 17-19,2008,42,79992286,-1%,100261162,-1.60%,131,Max Payne,/weekend/2008W42/?ref_=bo_wey_table_13
Oct 10-13Columbus Day wknd,2008,41,91420183,27%,113091916,22.60%,60,Beverly Hills Chihuahua,/weekend/2008W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_15
Oct 3-5,2008,40,90629110,10.30%,113697851,12.20%,126,Beverly Hills Chihuahua,/weekend/2008W40/?ref_=bo_wey_table_16
Sep 26-28,2008,39,82148111,12.80%,101343749,13.50%,125,Eagle Eye,/weekend/2008W39/?ref_=bo_wey_table_17
Sep 19-21,2008,38,72805930,-11.40%,89307263,-11.60%,137,Lakeview Terrace,/weekend/2008W38/?ref_=bo_wey_table_18
Sep 12-14,2008,37,82159485,77.30%,101041980,48.60%,131,Burn After Reading,/weekend/2008W37/?ref_=bo_wey_table_19
Sep 5-7,2008,36,46350874,-32.40%,68005476,-30.70%,126,Bangkok Dangerous,/weekend/2008W36/?ref_=bo_wey_table_20
Aug 29-Sep 1Labor Day wknd,2008,35,85925307,-24.40%,123794714,-16.50%,120,Tropic Thunder,/weekend/2008W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_22
Aug 22-24,2008,34,82667170,-22.30%,106158138,-15.10%,120,Tropic Thunder,/weekend/2008W34/?ref_=bo_wey_table_23
Aug 15-17,2008,33,106423430,-1.80%,125105639,2.90%,123,Tropic Thunder,/weekend/2008W33/?ref_=bo_wey_table_24
Aug 8-10,2008,32,108322998,-23.10%,121575179,-20.60%,123,The Dark Knight,/weekend/2008W32/?ref_=bo_wey_table_25
Aug 1-3,2008,31,140934095,-17.40%,153060805,-15.40%,122,The Dark Knight,/weekend/2008W31/?ref_=bo_wey_table_26
Jul 25-27,2008,30,170701895,-32%,180876759,-30.60%,120,The Dark Knight,/weekend/2008W30/?ref_=bo_wey_table_27
Jul 18-20,2008,29,250971601,79.40%,260528431,72.10%,122,The Dark Knight,/weekend/2008W29/?ref_=bo_wey_table_28
Jul 11-13,2008,28,139919684,-6.70%,151360113,-5.50%,127,Hellboy II: The Golden Army,/weekend/2008W28/?ref_=bo_wey_table_29
Jul 4-6,2008,27,149925900,-15.30%,160175719,-13.60%,116,Hancock,/weekend/2008W27/?ref_=bo_wey_table_30
Jun 27-29,2008,26,176907464,30.20%,185436843,29.50%,129,WALL¡¤E,/weekend/2008W26/?ref_=bo_wey_table_31
Jun 20-22,2008,25,135822136,-22.40%,143215343,-20.40%,123,Get Smart,/weekend/2008W25/?ref_=bo_wey_table_32
Jun 13-15,2008,24,174921744,3%,179896805,2.50%,127,The Incredible Hulk,/weekend/2008W24/?ref_=bo_wey_table_33
Jun 6-8,2008,23,169909290,4.10%,175464379,4.10%,123,Kung Fu Panda,/weekend/2008W23/?ref_=bo_wey_table_34
May 30-Jun 1,2008,22,163144136,-2.10%,168531880,-2.20%,134,Sex and the City,/weekend/2008W22/?ref_=bo_wey_table_35
May 23-26Memorial Day wknd,2008,21,212296393,-13.10%,219455440,-14.10%,118,Indiana Jones and the Kingdom of the Crystal Skull,/weekend/2008W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_37
May 16-18,2008,20,124788668,7.60%,132484294,5.50%,135,The Chronicles of Narnia: Prince Caspian,/weekend/2008W20/?ref_=bo_wey_table_38
May 9-11,2008,19,115983162,-21.90%,125571278,-21%,136,Iron Man,/weekend/2008W19/?ref_=bo_wey_table_39
May 2-4,2008,18,148431129,95.20%,159000645,74.30%,135,Iron Man,/weekend/2008W18/?ref_=bo_wey_table_40
Apr 25-27,2008,17,76023855,-4.60%,91236400,-2.80%,145,Baby Mama,/weekend/2008W17/?ref_=bo_wey_table_41
Apr 18-20,2008,16,79673117,2.40%,93848411,-1.40%,134,The Forbidden Kingdom,/weekend/2008W16/?ref_=bo_wey_table_42
Apr 11-13,2008,15,77792738,2.10%,95162842,-0.70%,125,Prom Night,/weekend/2008W15/?ref_=bo_wey_table_43
Apr 4-6,2008,14,76219857,-10.90%,95797267,-10.40%,129,21,/weekend/2008W14/?ref_=bo_wey_table_44
Mar 28-30,2008,13,85512670,-9.70%,106960934,-6.10%,123,21,/weekend/2008W13/?ref_=bo_wey_table_45
Mar 21-24Easter wknd,2008,12,107553652,-9.20%,125354528,-9.50%,59,Horton Hears a Who!,/weekend/2008W12/occasion/easter_weekend/?ref_=bo_wey_table_46
Mar 14-16,2008,11,101862262,17.20%,120687394,12.40%,124,Horton Hears a Who!,/weekend/2008W11/?ref_=bo_wey_table_48
Mar 7-9,2008,10,86928662,17.70%,107381602,9.90%,119,"10,000 BC",/weekend/2008W10/?ref_=bo_wey_table_49
Feb 29-Mar 2,2008,9,73841003,-13.30%,97723152,-11.50%,118,Semi-Pro,/weekend/2008W09/?ref_=bo_wey_table_50
Feb 22-24,2008,8,85162089,-23.60%,110410094,-20.60%,114,Vantage Point,/weekend/2008W08/?ref_=bo_wey_table_51
Feb 15-18Presidents' Day wknd,2008,7,133761458,-18%,167469892,-11.20%,100,Jumper,/weekend/2008W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_52
Feb 8-10,2008,6,83480396,-12%,112262045,-12.80%,107,Fool's Gold,/weekend/2008W06/?ref_=bo_wey_table_54
Feb 1-3,2008,5,94843468,-13.10%,128681821,-10.70%,107,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,/weekend/2008W05/?ref_=bo_wey_table_55
Jan 25-27,2008,4,109183558,-13.80%,144150492,-6.80%,108,Meet the Spartans,/weekend/2008W04/?ref_=bo_wey_table_56
Jan 18-21MLK wknd,2008,3,151470763,37.40%,187094009,19.80%,95,Cloverfield,/weekend/2008W03/occasion/us_mlkday_weekend/?ref_=bo_wey_table_58
Jan 11-13,2008,2,98786197,-12.20%,130426078,-6.70%,98,The Bucket List,/weekend/2008W02/?ref_=bo_wey_table_59
Jan 4-6,2008,1,112470805,-28.80%,139793714,-24.80%,89,National Treasure: Book of Secrets,/weekend/2008W01/?ref_=bo_wey_table_60
