Name,STARmeter,Episodes,Known for
Badih Abou Chakra Cheikh Yamani  Cheikh Yamani  See fewer,Members only,2.0,Nuts (III) (2016)
Basim Kahar Riyadh el-Azzawi  Riyadh el-Azzawi  See fewer,Members only,2.0,Carlos (2010)
Cem Sultan Ungan Agent irakien  Agent irakien  See fewer,Members only,2.0,The Collini Case (2019)
Martha Higareda Amparo  Amparo  See fewer,Top 5000,1.0,Amar te duele (2002)
Razane Jammal Lana Jarrar  Lana Jarrar  See fewer,Members only,1.0,A Walk Among the Tombstones (2014)
André Marcon Général Philippe Rondot  Général Philippe Rondot  See fewer,Members only,1.0,Marguerite (2015)
Yanillys Perez Anselma Lopez  Anselma Lopez  See fewer,Members only,1.0,Jeffrey (I) (2016)
Nicolas Briançon Me Jacques Vergès  Me Jacques Vergès  See fewer,Members only,1.0,Maison close (2010)
Gabriela Sánchez Maria-Teresa  Maria-Teresa  See fewer,Members only,1.0,Violet Perfume: No One Is Listening (2001)
Cesar Delgado Wixam Galeriste  Galeriste  See fewer,Members only,1.0,Carlos (2010)
Carlos Chahine Assem al-Joundi  Assem al-Joundi  See fewer,Members only,1.0,The North Road (2008)
Olivier Cruveiller Commissaire Herranz  Commissaire Herranz  See fewer,Members only,1.0,La Vie en Rose (2007)
Pierre-François Dumeniaud Inspecteur Dous  Inspecteur Dous  See fewer,Members only,1.0,The Hatter's Ghost (1982)
Simon-Pierre Boireau Inspecteur Donatini  Inspecteur Donatini  See fewer,Members only,1.0,Descent Into Darkness: My European Nightmare (2013)
Issam Bou Khaled Général libyen  Général libyen  See fewer,Members only,1.0,Around the Pink House (1999)
Ana María Durán Albaida  Albaida  See fewer,Members only,1.0,El cadáver exquisito (2011)
Carolina Callejas Leyma  Leyma  See fewer,Members only,1.0,Carlos (2010)
Jean-Baptiste Montagut 'Erik'  'Erik'  See fewer,Members only,1.0,Two (2002)
Jule Böwe Militante allemande  Militante allemande  See fewer,Members only,1.0,Gefangene (2006)
Alexis Lameyda Edgar  Edgar  See fewer,Members only,1.0,Carlos (2010)
Abbes Zahmani Abdelaziz Bouteflika  Abdelaziz Bouteflika  See fewer,Members only,1.0,Camping (I) (2006)
Shamyr Ali Luis  Luis  See fewer,Members only,1.0,Carlos (2010)
Alejandro Arroyo Valentin Hernandez Acosta  Valentin Hernandez Acosta  See fewer,Members only,1.0,Poveda (2016)
Guillaume Saurrel Bruno Bréguet  Bruno Bréguet  See fewer,Members only,1.0,Le premier venu (2008)
Susanne Wuest Edith Heller  Edith Heller  See fewer,Members only,1.0,Goodnight Mommy (2014)
Mohamed Ourdache Belaid Abdessalam  Belaid Abdessalam  See fewer,Members only,1.0,Bab El Oued City (1994)
Olivia Ross Amie de Bruno Bréguet  Amie de Bruno Bréguet  See fewer,Members only,1.0,Personal Shopper (2016)
Maria-Fernanda Ruette Joueuse de cuatro  Joueuse de cuatro  See fewer,Members only,1.0,Carlos (2010)
Djemel Barek Mohammed Boudia  Mohammed Boudia  See fewer,Members only,1.0,Munich (2005)
Hendrik Hegray Gardien de parking  Gardien de parking  See fewer,Members only,1.0,Carlos (2010)
Cédric Hergault Gardien de parking  Gardien de parking  See fewer,Members only,1.0,France Boutique (2003)
Nourredine Mirzadeh Jamshid Amouzegar  Jamshid Amouzegar  See fewer,Members only,1.0,Tuff Incident (2007)
Philippe Trad Feday Orly #1  Feday Orly #1  See fewer,Members only,1.0,Carlos (2010)
Farid Elouardi Feday Orly #2  Feday Orly #2  See fewer,Members only,1.0,From Paris with Love (2010)
Loulwa Maad Fille de Carlos  Fille de Carlos  See fewer,Members only,1.0,Carlos (2010)
Laura Wilkinson Secrétaire anglaise  Secrétaire anglaise  See fewer,Members only,1.0,Star Trek: Deep Space Nine (1993)
Samuel Achache Guy Cavallo  Guy Cavallo  See fewer,Members only,1.0,Paris (I) (2008)
Hugo Diaz Chanteur latino  Chanteur latino  See fewer,Members only,1.0,Carlos (2010)
Edith Heller Standardiste  Standardiste  See fewer,Members only,1.0,Carlos (2010)
Peter Benedict Policier #1  Policier #1  See fewer,Members only,1.0,Dark (2017)
Bibi Jacob Anglaise à Orly  Anglaise à Orly  See fewer,Members only,1.0,Killing Uncle Roman
Laetitia Spigarelli Marie-Caroline Cavallo  Marie-Caroline Cavallo  See fewer,Members only,1.0,"Paris, je t'aime (2006)"
Maïwenn Heurtaux Fille de l'Anglaise  Fille de l'Anglaise  See fewer,Members only,1.0,Carlos (2010)
Ronnie Paul Policier #2  Policier #2  See fewer,Members only,1.0,Snow White and the Huntsman (2012)
Péter Scherer Agent hongrois #1  Agent hongrois #1  See fewer,Members only,1.0,Trezor (2018)
Jean-Baptiste Malartre Ambassadeur  Ambassadeur  See fewer,Members only,1.0,The Days That Made History (2009)
Udo Samel Chancelier Bruno Kreisky  Chancelier Bruno Kreisky  See fewer,Members only,1.0,Mit meinen heißen Tränen (1986)
József Tóth Agent hongrois #2  Agent hongrois #2  See fewer,Members only,1.0,Kontroll (2003)
Hiraku Kawakami Yukata Furuya  Yukata Furuya  See fewer,Members only,1.0,Carlos (2010)
Georges Kern Otto Roesch  Otto Roesch  See fewer,Members only,1.0,Schindler's List (1993)
Ryosuke Sato Chef du Commando  Chef du Commando  See fewer,Members only,1.0,Win Win (2013)
Sarkaw Gorany Médecin kurde  Médecin kurde  See fewer,Members only,1.0,Beyond: Two Souls (2013)
Go Nabetani Commando ARJ #1  Commando ARJ #1  See fewer,Members only,1.0,Carlos (2010)
Akihiro Hata Commando ARJ #2  Commando ARJ #2  See fewer,Members only,1.0,Les Cardinaux (2013)
Johann von Bülow Pilote DC9  Pilote DC9  See fewer,Members only,1.0,Das Adlon. Eine Familiensaga (2013)
Charbel Aoun Officier libyen  Officier libyen  See fewer,Members only,1.0,Carlos (2010)
Yuka Hirata 'Mademoiselle pleine lune'  'Mademoiselle pleine lune'  See fewer,Members only,1.0,Engine Sentai Go-onger vs. Gekiranger (2009)
Manfred Bunholzer Ambassadeur autrichien  Ambassadeur autrichien  See fewer,Members only,1.0,Carlos (2010)
Vincent Jouan Commissaire Broussard  Commissaire Broussard  See fewer,Members only,1.0,Mesrine Part 2: Public Enemy #1 (2008)
Anton Kouznetsov Iouri Andropov  Iouri Andropov  See fewer,Members only,1.0,Mondialito (2000)
Karl Fischer Colonel Harry Dahl  Colonel Harry Dahl  See fewer,Members only,1.0,Therapy for a Vampire (2014)
Robert Gallinowski Major Helmut Voigt  Major Helmut Voigt  See fewer,Members only,1.0,Noch ein Seufzer und es wird Nacht (2015)
Timo Jacobs Ami de 'Nada'  Ami de 'Nada'  See fewer,Members only,1.0,"Mann im Spagat: Pace, Cowboy, Pace (2016)"
Laurens Walter Policier Suisse  Policier Suisse  See fewer,Members only,1.0,Stromberg (2004)
Noureddine Ameur Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,"Wesh wesh, qu'est-ce qui se passe? (2001)"
Wadih Awad Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Wassim Bahman Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Eriq Ebouaney Hassan al-Tourabi  Hassan al-Tourabi  See fewer,Members only,1.0,3 Days to Kill (2014)
Kida Khodr Ramadan Attaché irakien  Attaché irakien  See fewer,Members only,1.0,4 Blocks (2017)
Hassan Abou Chakra Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Carlos Arturo Hainsfurth Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Leslie Clark Joseph Edward Sieff  Joseph Edward Sieff  See fewer,Members only,1.0,Carlos (2010)
Athir Hanna Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Luis Jaime Cortez Majordome  Majordome  See fewer,Members only,1.0,1 chance sur 2 (1998)
Abdel Chakour Ibrahim Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Sami El Khalil Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Paolo Ospina Jeune garçon  Jeune garçon  See fewer,Members only,1.0,Carlos (2010)
Patrick Rameau Agent de la CIA  Agent de la CIA  See fewer,Members only,1.0,Maria Full of Grace (2004)
Riton Liebman Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Je suis supporter du Standard (2013)
Elie Youssef Feday chez Wadie Haddad  Feday chez Wadie Haddad  See fewer,Members only,1.0,A Time of Thorns: Zaman El Shok (2012)
Salah Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Carlos (2010)
Mohammad Mahmoud Douanier Beyrouth  Douanier Beyrouth  See fewer,Members only,1.0,Sporting Club (2014)
Alexander Yassin Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,Don 2 (2011)
Emmanuelle Bercot  Actress  Actress  See fewer,Members only,1.0,My King (2015)
Patricia Jantsek Patricia  Patricia  See fewer,Members only,1.0,Spectral (2016)
Jonathan Kaiser Otage à l'OPEP  Otage à l'OPEP  See fewer,Members only,1.0,The Voices (2014)
Anna Thalbach Inge Viett  Inge Viett  See fewer,Members only,,The Baader Meinhof Complex (2008)
Salah El Din Abou Chanab Docteur Nalas (2010)  Docteur Nalas (2010)  See fewer,Members only,,Carlos (2010)
Johannes Richard Voelkel Kommissar Helmer (2010)  Kommissar Helmer (2010)  See fewer,Members only,,Joyeux Noel (2005)
Mounzer Baalbaki Diplomate iranien  Diplomate iranien  See fewer,Members only,,Caramel (2007)
Belkacem Djamel Barek Mohammed Boudia  Mohammed Boudia  See fewer,Members only,,Carlos (2010)
Samir Basha Garde du corps de Carlos  Garde du corps de Carlos  See fewer,Members only,,Carlos (2010)
Jef Bayonne Policier français  Policier français  See fewer,Members only,,A Cure for Wellness (2016)
Alexander Beyer Lieutenant Wilhelm Borostowski  Lieutenant Wilhelm Borostowski  See fewer,Members only,,Deutschland 83 (2015)
Sándor Böjte Général hongrois  Général hongrois  See fewer,Members only,,Méhek tánca (2007)
Gabriella Csizmadia Mère de Magdalena  Mère de Magdalena  See fewer,Members only,,The Man with the Iron Heart (2017)
Caroline du Bled Gardienne de prison  Gardienne de prison  See fewer,Members only,,Blind Data (2015)
Emmanuel Agent soudanais  Agent soudanais  See fewer,Members only,,Carlos (2010)
S. Gozani Médecin kurde  Médecin kurde  See fewer,Members only,,Carlos (2010)
Hamid Garde du corps de Carlos  Garde du corps de Carlos  See fewer,Members only,,Carlos (2010)
Ahmed Hatoum Religieux syrien  Religieux syrien  See fewer,Members only,,Carlos (2010)
Johnny Kazan Policier aéroport de Beyrouth  Policier aéroport de Beyrouth  See fewer,Members only,,Carlos (2010)
Jonathan Israel Keiser Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Ireen Kirsch Informatrice Stasi  Informatrice Stasi  See fewer,Members only,,Fay Grim (2006)
Maria Kwiatkowsky Informatrice Stasi  Informatrice Stasi  See fewer,Members only,,En garde (2004)
Gigi Ledron Maîtresse de Carlos  Maîtresse de Carlos  See fewer,Members only,,A Mighty Heart (2007)
Abdalah Abdel Majid Médecin soudanais  Médecin soudanais  See fewer,Members only,,Carlos (2010)
Dassal Medi Policier aéroport de Beyrouth  Policier aéroport de Beyrouth  See fewer,Members only,,Carlos (2010)
Nourredine Moszadah J Amouragar  J Amouragar  See fewer,Members only,,Carlos (2010)
Mounire Moutawakil Otage OPEP  Otage OPEP  See fewer,Members only,,FF Moeve (2004)
Mohab Nader Diplomate iranien  Diplomate iranien  See fewer,Members only,,Carlos (2010)
O. Ogeibe Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Mustapha Ousmani Médecin militaire soudanais  Médecin militaire soudanais  See fewer,Members only,,Carlos (2010)
Boulos Risk Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Stephan Rives Agent DST Beyrouth  Agent DST Beyrouth  See fewer,Members only,,Carlos (2010)
Fadi Sabbah Gynécologue  Gynécologue  See fewer,Members only,,Carlos (2010)
Julien Schmidt Diplomate français  Diplomate français  See fewer,Members only,,Murphy's Law (2009)
Mario A. Silva Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Souleymane Sow Otage OPEP  Otage OPEP  See fewer,Members only,,Cosimo and Nicole (2012)
Tomas Spencer Policier Londres  Policier Londres  See fewer,Members only,,Nymphomaniac: Vol. I (2013)
Istvan Szori Bartender  Bartender  See fewer,Members only,,Season of the Witch (2011)
Jihad Tamraz Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Riad Tannoury Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Keith Thomson Agent CIA  Agent CIA  See fewer,Members only,,Particles of Truth (2003)
Szabolcs Thuróczy Sergent hongrois  Sergent hongrois  See fewer,Members only,,Kills on Wheels (2016)
Hanna Touma Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Attila Tóth  Actor  Actor  See fewer,Members only,,Éretlenek (1995)
Mátyás Varsa Général Redag  Général Redag  See fewer,Members only,,Budakeszi srácok (2006)
Rabih Zein Otage OPEP  Otage OPEP  See fewer,Members only,,Carlos (2010)
Laila Alina Reischer Assistant (uncredited)  Assistant (uncredited)  See fewer,Members only,1.0,22:43 (2010)
Romana Carén Tramway guest (uncredited)  Tramway guest (uncredited)  See fewer,Members only,,There Are No Kangaroos in Austria
