Name,STARmeter,Episodes,Known for
Albert Ueligitone Pablo  Pablo  See fewer,Members only,3,Hawaii Five-0 (2010)
Matt Perfetuo Sakas  Sakas  See fewer,Members only,3,Detective Chinatown 2 (2018)
Joseph Kingsley Assistant  Assistant  See fewer,Members only,3,The Man Who Feared (2016)
Andra Nechita Iridia  Iridia  See fewer,Members only,3,Ballers (2015)
Nicola Peltz New Inhuman  New Inhuman  See fewer,Top 5000,2,Transformers: Age of Extinction (2014)
Stephanie Anne Lewis Paripan  Paripan  See fewer,Members only,2,Hawaii Five-0 (2010)
Jason Lee Hoy Royal Guard Sergeant  Royal Guard Sergeant  See fewer,Members only,2,Hawaii Five-0 (2010)
Aidan Fiske Young Maximus  Young Maximus  See fewer,Members only,2,American Woman (2018)
Lee Minh Topping Rebel Leader  Rebel Leader  See fewer,Members only,2,Hawaii Five-0 (2010)
Jason Quinn Pulsus  Pulsus  See fewer,Members only,2,Waikiki (2019)
Jeff Juett Ted  Ted  See fewer,Members only,2,Hawaii Five-0 (2010)
Deborah Glazier Genetic Member #1  Genetic Member #1  See fewer,Members only,2,Shiro to Kiiro: Hawai to Watashi no Pankeiki Monogatari (2018)
Dan Cooke Cowboy  Cowboy  See fewer,Members only,1,Battleship (2012)
Nolan Hong Tourist Husband  Tourist Husband  See fewer,Members only,1,Hawaii Five-0 (2010)
Garret Sato Lead Mercenary  Lead Mercenary  See fewer,Members only,1,Hawaii Five-0 (2010)
Allan Cole Outspoken Inhuman  Outspoken Inhuman  See fewer,Members only,1,The Incredible Hulk (1977)
Wolf Lee Counsel Royal Guard  Royal Guard  See fewer,Members only,1,Hawaii Five-0 (2010)
Blake Lebenz Cabbie  Cabbie  See fewer,Members only,1,Hawaii Five-0 (2010)
Mark Medeiros Tua  Tua  See fewer,Members only,1,Anniversary Nightmare (2019)
Devon Nekoba Policeman  Policeman  See fewer,Members only,1,Hawaii Five-0 (2010)
Tani Fujimoto-Kim Clerk  Clerk  See fewer,Members only,1,Hawaii Five-0 (2010)
Rick Agan Police Officer  Police Officer  See fewer,Members only,1,Magnum P.I. (2018)
Guy Pere Gangster  Gangster  See fewer,Members only,1,Jurassic World (2015)
Lopaka Kapanui Police Lietenant  Police Lietenant  See fewer,Members only,1,Parts of the Same Circle (2012)
John-Patrick Driscoll Rivera  Rivera  See fewer,Members only,1,S.W.A.T. (2017)
Steve Trzaska Doudan  Doudan  See fewer,Members only,1,The Middle (2009)
Jenna Bleu Forti Lovely Inhuman Server  Lovely Inhuman Server  See fewer,Members only,1,Soul Surfer (2011)
Leila Bootsma Young Crystal  Young Crystal  See fewer,Members only,1,Inhumans (2017)
Carlos Arellano Captain Pena  Captain Pena  See fewer,Members only,1,Lethal Weapon (2016)
Kekoa Kekumano Worker Bee  Worker Bee  See fewer,Members only,1,Aquaman (2018)
Lei Kaholokula Reporter  Reporter  See fewer,Members only,1,Inhumans (2017)
Shane Miyashiro Police Officer  Police Officer  See fewer,Members only,1,Hawaii Five-0 (2010)
Sam Bass Royal Guard (uncredited)  Royal Guard (uncredited)  See fewer,Members only,7,Jurassic World: Fallen Kingdom (2018)
Wesley Jansen Lower Class Human / Prison Inmate / Royal Guard (uncredited)  Lower Class Human / Prison Inmate / Royal Guard (uncredited)  See fewer,Members only,3,"Where'd You Go, Bernadette (2019)"
Travis Arrington Man in Crowd (uncredited)  Man in Crowd (uncredited)  See fewer,Members only,2,Godzilla vs. Kong (2020)
Avery Arrington Man in Crowd (uncredited)  Man in Crowd (uncredited)  See fewer,Members only,1,Triple Frontier (2019)
Miguel A. Baez Jr. Volcano Tourist (uncredited)  Volcano Tourist (uncredited)  See fewer,Members only,1,Jurassic World: Fallen Kingdom (2018)
Sharon M. Bell HPD Officer (uncredited)  HPD Officer (uncredited)  See fewer,Members only,1,The Cutting Truth (2017)
L.G. Michael Brown Food Taster - Inhuman (uncredited)  Food Taster - Inhuman (uncredited)  See fewer,Members only,1,Big Eyes (I) (2014)
Shaun Dunnigan Royal Guard (uncredited)  Royal Guard (uncredited)  See fewer,Members only,1,Hawaii Five-0 (2010)
Francisco Rodriguez Jail Guard (uncredited)  Jail Guard (uncredited)  See fewer,Members only,1,Vida (2018)
Theresa Taffin Lawyer (uncredited)  Lawyer (uncredited)  See fewer,Members only,1,The Wrong Missy
Nel Venzon Prison Inmate (uncredited)  Prison Inmate (uncredited)  See fewer,Members only,1,Popolo (2015)
Leon Williams Council Member #2 (uncredited)  Council Member #2 (uncredited)  See fewer,Members only,1,Hawaii Five-0 (2010)
