Name,STARmeter,Episodes,Known for
Corey Burton Dale / Ludwig Von Drake / Additional Voices / Ludwig von Drake / Chip / Fan  Dale / Ludwig Von Drake / Additional Voices / Ludwig von Drake / Chip / Fan  See fewer,Members only,25.0,Atlantis: The Lost Empire (2001)
Frank Welker Butch / Figaro / Spider  Butch / Figaro / Spider  See fewer,Top 5000,10.0,Transformers: Dark of the Moon (2011)
Natalie Coughlin Susie Beagleman / Suzie  Susie Beagleman / Suzie  See fewer,Members only,9.0,Mr. Church (2016)
Evan Kishiyama Elray Thunderboom / Elray  Elray Thunderboom / Elray  See fewer,Members only,9.0,The Epic Tales of Captain Underpants (2018)
Jeff Bennett Additional Voices / Hudson / Max Maximum / Mr. Bandicoot / Self-Racing Racer  Additional Voices / Hudson / Max Maximum / Mr. Bandicoot / Self-Racing Racer  See fewer,Members only,7.0,Enchanted (2007)
Stella Edwards Pearl McSnorter  Pearl McSnorter  See fewer,Members only,7.0,Nobodies (I) (2017)
Leigh-Allyn Baker Fiona Featherstone / Mrs. McBilly / Coach Hannah / Heidi / Portia DeHound  Fiona Featherstone / Mrs. McBilly / Coach Hannah / Heidi / Portia DeHound  See fewer,Members only,6.0,Will & Grace (1998)
August Maturo Puck McSnorter  Puck McSnorter  See fewer,Members only,6.0,The Nun (2018)
Cooper Stutler Buddy McBilly  Buddy McBilly  See fewer,Members only,6.0,Criminal Minds (2005)
Steve Valentine Commander Heist / Additional Voices / Willie Beagle  Commander Heist / Additional Voices / Willie Beagle  See fewer,Members only,6.0,Crossing Jordan (2001)
Mckenna Grace Bitsy Beagleberg  Bitsy Beagleberg  See fewer,Top 5000,5.0,Gifted (2017)
Tim Gunn Robbie Roberts  Robbie Roberts  See fewer,Members only,4.0,Project Runway (2004)
Jane Leeves Queen of England / Babette Beagle  Queen of England / Babette Beagle  See fewer,Top 5000,4.0,Frasier (1993)
Patton Oswalt Mr. McSnorter  Mr. McSnorter  See fewer,Top 5000,4.0,Young Adult (2011)
Jeff Gordon Gordon Gear  Gordon Gear  See fewer,Members only,3.0,Cars 2 (2011)
Danica Patrick Danni Sue  Danni Sue  See fewer,Members only,3.0,CSI: NY (2004)
Tia Carrere Auntie Olina  Auntie Olina  See fewer,Top 5000,3.0,Wayne's World (1992)
Hector Elizondo Grandpa Beagle  Grandpa Beagle  See fewer,Top 5000,3.0,Pretty Woman (1990)
Grace Kaufman Melody Mouse  Melody Mouse  See fewer,Members only,3.0,Man with a Plan (2016)
Megan Richie Leilani  Leilani  See fewer,Members only,3.0,Game Shakers (2015)
Avalon Robbins Millie Mouse / Additional Voices  Millie Mouse / Additional Voices  See fewer,Members only,3.0,The Three Stooges (2012)
Fred Willard Mr. Doozy  Mr. Doozy  See fewer,Members only,3.0,Best in Show (2000)
Maurice LaMarche Action Ashton / Morty McCool / Omar / Sticky Fingers Fred  Action Ashton / Morty McCool / Omar / Sticky Fingers Fred  See fewer,Members only,3.0,Futurama (1999)
Kate Micucci Emmy Lou  Emmy Lou  See fewer,Top 5000,2.0,When in Rome (2010)
Carlos Alazraqui Panchito  Panchito  See fewer,Members only,2.0,The Fairly OddParents (2001)
Rob Paulsen Churro Vendor / Jose / José Carioca  Churro Vendor / Jose / José Carioca  See fewer,Members only,2.0,Animaniacs (1993)
Peter Serafinowicz Agent Chauncey Chips / Dr. Waddleton Crutchley  Agent Chauncey Chips / Dr. Waddleton Crutchley  See fewer,Top 5000,2.0,Guardians of the Galaxy (2014)
Shane Keogh-Grenade Luke Beagle  Luke Beagle  See fewer,Members only,2.0,Doctor Who (2005)
Pippa Mann Pippa Powers  Pippa Powers  See fewer,Members only,2.0,On the Money (2005)
Jennifer Cody Maggie / Maggie Racing Rivals  Maggie / Maggie Racing Rivals  See fewer,Members only,2.0,The Princess and the Frog (2009)
Jon Curry Pierre La Pierre / Papa Pierre  Pierre La Pierre / Papa Pierre  See fewer,Members only,2.0,Avatar (2009)
Elayne Boosler Mama Pete  Mama Pete  See fewer,Members only,2.0,Mother Goose Rock 'n' Rhyme (1990)
Riley Go Bitsy Beagleberg  Bitsy Beagleberg  See fewer,Members only,1.0,2 Broke Girls (2011)
Jimmie Johnson Jiminy Johnson  Jiminy Johnson  See fewer,Members only,1.0,Herbie Fully Loaded (2005)
Gordon Ramsay Gerald Oxley  Gerald Oxley  See fewer,Members only,1.0,Hell's Kitchen (2005)
Tony Shalhoub Luigi  Luigi  See fewer,Top 5000,1.0,Monk (2002)
Sabrina Carpenter Nina Glitter  Nina Glitter  See fewer,Top 5000,1.0,Horns (2013)
Guillermo del Toro Mr. Talbot  Mr. Talbot  See fewer,Top 5000,1.0,Pan's Labyrinth (2006)
Jayden Fowora-Knight Rocko Beagle  Rocko Beagle  See fewer,Members only,1.0,Ready Player One (2018)
Tony Hale Victor Von Goose  Victor Von Goose  See fewer,Top 5000,1.0,Arrested Development (2003)
Jess Harnell Jess  Jess  See fewer,Members only,1.0,Transformers: Dark of the Moon (2011)
Marieve Herington Additional Voices / Celeste / Phantom Chef  Additional Voices / Celeste / Phantom Chef  See fewer,Members only,1.0,How I Met Your Mother (2005)
Hoda Kotb Mrs. Sweetums  Mrs. Sweetums  See fewer,Members only,1.0,Law & Order: Special Victims Unit (1999)
Max Longmuir Nick Beagle  Nick Beagle  See fewer,Members only,1.0,Mickey and the Roadster Racers (2017)
Luciano Palermi Mr. Floochi  Mr. Floochi  See fewer,Members only,1.0,The Lizzie McGuire Movie (2003)
Fred Stoller Jimbo  Jimbo  See fewer,Members only,1.0,Fred & Vinnie (2011)
Kimaya Thais Lou-Lou  Lou-Lou  See fewer,Members only,1.0,The Red Thread (I) (2016)
Kelly Ward Mutzy  Mutzy  See fewer,Members only,1.0,Grease (1978)
Adrian Zmed Randy Riff Raff  Randy Riff Raff  See fewer,Members only,1.0,Bachelor Party (1984)
Tito Alvarez Domingo  Domingo  See fewer,Members only,1.0,Mickey and the Roadster Racers (2017)
Mario Andretti Mario Mousedretti  Mario Mousedretti  See fewer,Members only,1.0,Cars (2006)
Ana Beatriz Bia  Bia  See fewer,Members only,1.0,Auto Esporte (2002)
Eliza Bloomfield Poppy  Poppy  See fewer,Members only,1.0,Mickey and the Roadster Racers (2017)
Rihanna Brown  Actor  Actor  See fewer,Members only,1.0,Mickey and the Roadster Racers (2017)
Presley Charman Pip  Pip  See fewer,Members only,1.0,Mickey and the Roadster Racers (2017)
Alice Cooper Alistair Coop De Ville  Alistair Coop De Ville  See fewer,Members only,1.0,Wayne's World (1992)
Stephen Fry Dr. Waddleton Crutchley  Dr. Waddleton Crutchley  See fewer,Top 5000,1.0,Gosford Park (2001)
Andrea Martin Mrs. Bigby  Mrs. Bigby  See fewer,Members only,1.0,My Big Fat Greek Wedding (2002)
Oshún Ramirez Silvia  Silvia  See fewer,Members only,1.0,Future-Worm! (2015)
Eduardo Roman Señor Vasquez  Señor Vasquez  See fewer,Members only,1.0,Adam Ruins Everything (2015)
Madison Pettis Olivia (2019)  Olivia (2019)  See fewer,Top 5000,,Five Points (2018)
